obsid,ra,dec,
370213075 , 318.493949 , 2.518906 ,
103512069 , 171.995064 , 12.22618 ,
274015029 , 143.893929 , 24.811299 ,
553508186 , 108.90022 , 12.570946 ,
131916196 , 153.728781 , 44.115775 ,
149503113 , 241.584457 , 53.633967 ,
279004083 , 81.313703 , 20.208414 ,
202001117 , 187.822488 , 12.55037 ,
158206144 , 323.773675 , 15.595693 ,
186316119 , 10.850013 , 32.693054 ,
46414132 , 244.306746 , 38.426023 ,
99615099 , 149.393581 , 43.348433 ,
447109107 , 179.179445 , -0.384023 ,
491904155 , 152.945721 , 21.297333 ,
29309235 , 169.329172 , 26.979342 ,
231708006 , 228.942389 , 18.299009 ,
157110023 , 337.204726 , 11.734264 ,
523208073 , 132.70247 , 18.453607 ,
576805069 , 255.442458 , 34.159927 ,
505001070 , 186.333315 , 25.531141 ,
524615170 , 88.378236 , 47.377652 ,
449914027 , 253.881041 , 3.576297 ,
497709061 , 114.02411 , 53.144906 ,
523302230 , 159.214968 , 24.00864 ,
332705145 , 182.522984 , 27.9304 ,
126506242 , 212.635998 , 42.993296 ,
157006185 , 340.835611 , 10.779117 ,
569411047 , 261.373081 , -0.019153 ,
142003085 , 206.377801 , 5.411018 ,
229211094 , 178.712263 , 0.354326 ,
152308161 , 186.143374 , 23.877152 ,
300415127 , 172.802947 , 31.522016 ,
118405095 , 183.017624 , 8.7876 ,
546408231 , 154.065506 , 8.850814 ,
418608028 , 184.156298 , 10.205508 ,
282615248 , 3.583296 , 46.930414 ,
291015103 , 122.628073 , 6.613873 ,
528505082 , 210.529489 , 6.249909 ,
249307247 , 63.571083 , 17.654926 ,
449904130 , 256.309298 , 2.907837 ,
426701168 , 233.740613 , 53.130014 ,
247814086 , 338.265644 , 5.310714 ,
333012029 , 231.768507 , 34.927037 ,
320612202 , 112.35155 , 42.038751 ,
269605051 , 115.337263 , -2.0378 ,
232408016 , 139.83098 , 5.977936 ,
76714007 , 46.603216 , 33.214024 ,
177414134 , 141.2754 , 29.346263 ,
502005125 , 162.821963 , 27.247112 ,
228701051 , 161.28051 , 41.335289 ,
327511088 , 196.05965 , 2.028309 ,
145312102 , 231.510364 , 44.177682 ,
267304086 , 25.668901 , 25.273918 ,
371310199 , 326.837601 , 9.144551 ,
267308060 , 26.545683 , 25.377614 ,
191514212 , 170.026786 , 31.097519 ,
350511090 , 278.230912 , 31.476169 ,
199803073 , 180.930214 , 0.885744 ,
336912008 , 136.76881 , 1.506277 ,
575515115 , 255.631717 , 21.311703 ,
