name,specobjid,ra,dec,plate,mjd,fiberid,fehadop,fehadopunc,elodiervfinal,elodiervfinalerr,fehspec,fehspecunc,psfMag_g,fiberMag_g
S821,3649187640185561088,37.597535,24.347571,3241,54884,531,-1.824379,0.068379,-127.004257,1.842783,-1.715248,0.0517,17.599514,17.940424
S2834,2787821692020431872,198.12543,18.118582,2476,53826,340,-1.732973,0.0853,-58.738113,6.703814,-1.732973,0.0853,16.955807,17.288406
S1966,3285459842331863040,180.50545,19.470465,2918,54554,305,-1.246044,0.074213,-52.870476,3.985142,-1.246044,0.074213,17.974461,18.293074
S3025,2667412797712787456,146.09983,18.266933,2369,53733,567,-1.378819,0.0824,201.169296,11.722343,-1.378819,0.0824,19.145996,19.471558
S928,3626577282736431104,174.45178,26.53771,3221,54864,195,-2.327677,0.0709,88.88176,3.714532,-2.327677,0.0709,17.590309,17.930727
S2868,2504056982160304128,178.36887,28.883365,2224,53815,202,-1.816112,0.0712,-181.205292,2.620958,-1.816112,0.0712,16.298185,16.666338
S3229,2531025249298835456,307.07969,12.704453,2248,53558,8,-1.899761,0.0543,-213.9328,3.4818,-1.899761,0.0543,16.227968,16.533022
S3268,2457959402729138176,265.98526,25.411174,2183,53536,436,-1.594078,0.0577,-156.095581,4.595138,-1.594078,0.0577,17.235205,17.538427
S285,3813525322121453568,222.56323,24.302323,3387,54951,372,-2.099262,0.0442,80.4105,1.812332,-2.099262,0.0442,16.327507,16.650017
S3404,2242911694714071040,186.36659,38.405393,1992,53466,433,-1.813481,0.0363,-231.363144,3.810181,-1.813481,0.0363,16.899544,17.235655
S3702,2159505762496309248,317.14102,-1.025424,1918,53240,108,-1.789027,0.0443,-157.08606,3.318054,-1.789027,0.0443,16.449343,16.766722
S4029,1585365247592523776,245.81872,27.642351,1408,52822,357,-1.809822,0.0341,-238.397003,3.812207,-1.809822,0.0341,16.416706,16.734339
S585,3699742910389002240,123.75629,64.830631,3286,54910,130,-1.523455,0.075999,-143.271545,1.71839,-1.506495,0.025,16.476412,16.774193
S3159,2532242408805001216,308.2975,15.489479,2249,53566,340,-1.434828,0.033,-230.814209,2.456294,-1.434828,0.033,16.361359,16.690868
S3227,2531150318746494976,306.0127,13.876502,2248,53558,463,0.177105,0.050729,-2.3494,2.103094,0.177105,0.050729,15.192829,15.53788
S287,3836096372029890560,223.26718,22.530841,3407,54971,565,-2.105451,0.154,-27.154894,10.033125,-2.105451,0.154,18.637901,18.930784
S3938,1954650525291014144,115.21576,45.330084,1736,53052,321,-2.371611,0.145,-105.536339,6.828534,-1.836146,0.0523,17.962925,18.282141
S3729,2148218450986690560,311.91004,-0.942535,1908,53239,5,-1.329765,0.241,-58.126026,2.082927,-1.773737,0.0582,14.860652,15.163989
S194,3857398860162899968,251.43112,21.293554,3426,54977,239,-1.996664,0.0837,-169.003128,5.096916,-1.996664,0.0837,18.296867,18.624762
S1466,3276521088951019520,226.98408,32.408367,2910,54630,554,-1.551952,0.0476,-94.45623,3.843581,-1.551952,0.0476,17.346531,17.658541
S394,3727874190817206272,216.71084,35.348714,3311,54943,71,-1.51984,0.210549,-4.647222,2.682968,-1.309291,0.0309,16.497841,16.802868
S3861,1943315111590520832,238.47374,8.0920552,1726,53137,43,-1.81371,0.0354,-66.325523,3.225288,-1.81371,0.0354,16.430447,16.698215
S355,3698678034015035392,178.31678,13.211813,3285,54948,352,-1.810457,0.04495,237.097763,1.69916,-1.855406,0.0313,15.663075,16.021185
S955,3619904346617126912,172.99586,44.96526,3215,54861,495,-1.884117,0.0541,-269.693604,2.700552,-1.884117,0.0541,17.088879,17.438601
S4040,1514395895053969408,206.21958,42.210661,1345,52814,220,-1.952576,0.1149,-38.173618,6.183684,-1.952576,0.1149,17.612446,17.948668
S87,3903533268921851904,242.14036,38.822178,3467,54999,139,-2.418219,0.161,-162.741257,10.91614,-2.418219,0.161,19.091141,19.375656
S92,3903586595235799040,240.73502,39.427576,3467,54999,333,-1.935071,0.209,50.963268,2.187855,-2.134095,0.0493,16.300787,16.636242
S262,3834980092833013760,225.09039,41.763001,3406,54970,600,-2.337051,0.1078,-208.915207,12.844422,-2.337051,0.1078,19.300797,19.671844
S4508,939011556279085056,146.19553,47.119628,834,52316,40,-1.608038,0.0517,55.863441,8.117769,-1.608038,0.0517,17.811373,18.181425
S4440,892972531428911104,227.82948,54.868432,793,52370,487,-1.553634,0.0288,-85.377441,1.574846,-1.553634,0.0288,15.364264,15.69538
S662,3661560169806012416,184.60652,6.0097656,3252,54893,486,-1.517493,0.165,-40.116226,2.545145,-1.083091,0.0357,17.264294,17.597567
S2457,2449990429190416384,243.44661,51.819742,2176,54243,117,-1.690218,0.342,-200.147232,2.073132,-1.935602,0.0354,16.133612,16.480618
S4733,660993989016578048,220.46751,4.7692522,587,52026,330,-1.540952,0.171757,-181.918854,1.91074,-1.369195,0.0347,16.513922,16.827034
S462,3662615426896076800,186.05878,4.4999943,3253,54941,229,-1.593129,0.19,243.345703,1.74381,-2.027876,0.0285,16.056246,16.370846
S1096,3574799630313037824,129.05611,45.85567,3175,54828,245,-1.572493,0.0308,-45.098179,2.64593,-1.572493,0.0308,16.87429,17.204586
S2066,3251751014428076032,134.55208,3.380924,2888,54529,553,-2.000837,0.0217,89.137917,1.360472,-2.000837,0.0217,15.639596,15.981842
S1155,3554587307623424000,61.727111,-4.5393367,3157,54802,441,-1.920609,0.1378,-58.547768,4.861395,-1.920609,0.1378,18.638742,18.977745
S1262,3539891509430165504,354.28593,-9.7186128,3144,54763,226,-1.966828,0.148671,-250.252975,3.08017,-2.115499,0.0382,17.896603,18.229412
S4533,368310320390760448,174.10307,-2.0456355,327,52294,513,-2.317128,0.198,58.176186,7.270652,-1.997244,0.0461,18.383654,18.694408
S696,3640180715926167552,172.33893,-0.14105969,3233,54891,532,-1.485947,0.0177,213.184464,1.453881,-1.485947,0.0177,15.796753,16.126059
S1555,3303458574008608768,221.36628,-0.869373,2934,54626,248,-1.626974,0.1627,59.341568,13.525992,-1.626974,0.1627,19.674864,19.992971
S3738,2129088872791959552,319.65269,9.725105,1891,53238,44,-1.029741,0.027497,-282.717346,4.685734,-1.07848,0.048077,18.003885,18.333328
S1164,3516328425122013184,73.812503,-4.541955,3123,54741,520,-1.650899,0.168,169.311554,1.683297,-1.735019,0.0287,16.494106,16.844137
S2334,2949967780859897856,334.29866,39.719491,2620,54397,400,-2.148029,0.0472,-267.13446,2.494078,-2.148029,0.0472,15.647501,15.974265
S4933,396364624385042432,260.26345,63.098587,352,51694,174,-1.411938,0.622,-271.559509,6.642543,-9999,-9999,17.573877,17.876726
S2266,3229153850145400832,155.60314,17.751852,2868,54451,265,-1.641319,0.204,-16.219225,2.878862,-1.735133,0.0249,17.812378,18.146633
S1087,3594035036501942272,142.16161,15.149093,3192,54829,591,-1.822536,0.032024,203.963959,2.121159,-1.790511,0.0181,16.761898,17.116541
S1364,3532061886575124480,304.84375,-11.715972,3137,54730,414,-1.250095,0.102497,-6.441339,1.260444,-1.250095,0.056242,16.03615,16.33589
S1355,3532102568505352192,305.53303,-11.906686,3137,54730,562,-1.253383,0.055963,-357.322113,1.599496,-1.19742,0.033,16.778498,17.088947
S1296,3533164971783462912,302.29963,-11.206007,3138,54740,331,-1.655682,0.23,105.659218,1.785265,-1.48405,0.0361,17.15369,17.462727
S1589,3149166581016193024,262.82466,6.931884,2797,54616,89,-1.541077,0.0269,-76.424088,1.965752,-1.541077,0.0269,15.576528,15.873695
S2836,2787850004444847104,198.55521,17.866007,2476,53826,443,-1.076609,0.22493,-31.34808,2.544456,-1.076609,0.0354,15.50098,15.835587
S1764,2852045278444283904,249.05726,12.056704,2533,54585,512,-1.380571,3.190279E-3,99.847755,2.688556,-1.383761,0.045803,16.740334,17.041513
S2466,3095162686736984064,220.4336,13.811255,2749,54241,232,-2.232036,0.0619,34.664845,3.088379,-2.232036,0.0619,16.360945,16.648138
S1857,2849678854325299200,245.99905,9.6156349,2531,54572,95,-1.365215,0.0389,37.536827,7.059046,-1.365215,0.0389,18.091114,18.422115
S496,3716733389181657088,202.6626,23.68718,3301,54939,501,-1.879634,0.0309,111.066574,2.871247,-1.879634,0.0309,16.879408,17.221069
S2168,2980347838535329792,187.28032,23.409457,2647,54495,330,-9999,-9999,-142.344116,7.22871,-9999,-9999,18.079023,18.42819
S2861,2737227664334022656,134.49746,15.801851,2431,53818,600,-1.844512,0.0416,90.351982,3.341814,-1.844512,0.0416,16.651878,16.961514
S1062,3597368480929783808,127.62619,14.503921,3195,54832,430,-0.840353,0.0327,87.990555,1.760761,-0.840353,0.0327,16.321674,16.651304
S3036,2629100040114694144,48.195119,6.374654,2335,53730,450,-1.838507,0.23,-204.490967,3.276218,-2.142407,0.0751,16.753492,17.093069
S2827,2513155166203570176,185.95444,30.910493,2232,53827,533,-1.457171,0.069122,-82.140373,7.578839,-1.526293,0.0627,18.356131,18.648275
S764,3673847487023652864,162.86992,27.481564,3263,54887,131,-1.819544,0.0374,73.813042,2.108521,-1.819544,0.0374,16.671844,16.957439
S3134,2589660007465248768,81.062644,62.947989,2300,53682,328,-0.821626,0.0312,-18.264084,1.845972,-0.821626,0.0312,15.517011,15.840949
S3168,2532315526328248320,310.19257,15.804741,2249,53566,606,-1.156339,0.067411,-80.761108,2.724681,-1.22375,0.042259,16.333645,16.649548
S1389,2612213206264866816,320.32807,-6.01264,2320,54653,456,-2.238518,0.0784,-354.998413,5.324966,-2.238518,0.0784,18.559711,18.882952
S3261,2457927516891932672,265.16798,25.037476,2183,53536,320,-1.603083,0.0568,-207.063843,3.052712,-1.603083,0.0568,16.552118,16.860798
S594,3703164315696734208,240.48675,16.58171,3289,54910,289,-1.709685,0.0282,82.871216,2.101589,-1.709685,0.0282,16.580589,16.907623
S3027,2582821609022711808,144.37658,25.34931,2294,54524,26,-1.773851,0.1833,-8.25043,13.539999,-1.773851,0.1833,18.927332,19.31255
S3436,2241819329576331264,178.7662,32.120121,1991,53446,555,-1.536932,0.0501,105.779411,3.95851,-1.536932,0.0501,17.088524,17.439178
S3368,2258656151635781632,194.45444,34.775292,2006,53476,367,-2.151427,0.0574,124.677162,2.767495,-2.151427,0.0574,15.741014,16.023605
S700,3640102375722688512,171.35675,-2.1345804,3233,54891,247,-2.020908,0.0621,235.900574,3.231869,-2.020908,0.0621,17.313259,17.629578
