name ra  dec
S805 195.91156 10.80606 27.8
S806 195.38025 11.31107 13.2
S807 194.6445 10.00807 41.2
S808 194.24026 9.29664 19.4
S809 194.59512 8.65237 37.8
S810 194.66812 9.62133 15.4
S811 194.96565 8.71114 28.4
S812 195.58688 9.28454 14.5
S813 195.09209 9.12615 54.6
S814 195.02512 8.42106 25.3
S815 195.89062 9.62008 32.9
S816 195.87677 9.2361 10.6
S817 156.48262 37.67743 15.0
S818 155.43893 38.8809 30.7
S819 156.04056 38.17916 14.0
S820 155.39743 36.73002 18.3
S821 37.59753 24.34757 19.1
S822 37.04804 23.43055 27.6
S823 37.20835 22.41021 10.6
S824 159.5955 45.1486 25.8
S825 38.17473 23.42729 29.2
S826 195.96605 60.58116 17.0
S827 195.4644 58.64693 21.2
S828 195.17041 58.61125 14.7
S829 195.04452 59.30002 27.4
S830 159.46313 23.92148 9.6
S831 202.14262 39.18264 14.0
S832 202.0126 38.91182 30.2
S833 159.29425 24.66463 17.3
S834 200.22368 39.72838 20.2
S835 153.00082 27.42131 10.5
S836 158.59141 23.8357 11.1
S837 159.49397 22.56401 12.8
S838 201.98137 38.37901 20.4
S839 159.97 23.48077 24.2
S840 200.3553 38.05623 14.0
S841 199.20177 58.66736 13.4
S842 160.62682 24.83013 28.3
S843 199.95459 38.25077 43.4
S844 154.22234 28.13998 15.8
S845 153.45056 28.74429 10.7
S846 160.85266 23.29138 17.0
S847 171.42163 10.39662 12.3
S848 162.63683 22.28747 13.1
S849 161.1743 22.38545 13.4
S850 161.46443 22.81716 14.6
S851 171.87225 10.64649 10.2
S852 161.81624 24.52814 25.2
S853 172.26974 9.76955 29.0
S854 171.64572 10.36701 23.4
S855 171.76878 8.55646 19.9
S856 171.942 9.4241 39.7
S857 171.27611 8.45606 38.9
S858 170.05923 9.52822 20.2
S859 170.34795 10.99075 18.3
S860 170.46362 10.91761 14.0
S861 172.07135 10.29621 34.5
S862 157.0215 26.85548 11.9
S863 156.41591 26.47424 51.1
S864 156.50525 28.01983 34.9
S865 156.47949 28.56063 22.1
S866 157.49594 27.87046 13.5
S867 157.62915 27.23892 46.9
S868 198.17923 20.20389 18.6
S869 152.84604 14.51284 30.4
S870 151.59462 13.82493 11.7
S871 196.60593 20.06177 12.9
S872 196.4126 19.77155 42.1
S873 196.41408 20.1869 16.2
S874 151.56879 12.05721 29.6
S875 151.82745 12.04283 46.9
S876 149.96785 14.07419 36.2
S877 149.45769 14.55968 14.4
S878 148.784 13.7865 15.1
S879 196.14584 18.83104 36.9
S880 196.33101 18.4525 16.9
S881 149.1653 13.09048 20.6
S882 149.51163 12.60226 15.2
S883 149.71483 12.66462 27.8
S884 149.65431 13.01953 43.6
S885 197.16498 19.02342 53.4
S886 198.12634 19.26232 33.3
S887 197.67064 18.45538 19.2
S888 126.78751 36.12212 33.5
S889 126.01739 36.74575 24.0
S890 180.77068 12.51687 10.7
S891 180.72676 11.4044 38.5
S892 180.9033 10.62313 42.7
S893 181.42091 12.38699 21.6
S894 181.14944 12.48317 18.9
S895 181.4174 11.17677 27.1
S896 181.25423 11.51268 19.7
S897 182.68059 11.27604 31.3
S898 182.44617 11.27828 13.6
S899 182.63473 10.79506 33.9
S900 183.04301 11.76026 44.2
S901 182.93101 11.15647 37.5
S902 183.16106 10.99811 13.4
S903 181.03406 13.58504 37.5
S904 9.01656 15.52292 35.5
S905 9.60978 15.24785 12.3
S906 181.40329 14.183 20.3
S907 181.96378 14.6706 21.6
S908 181.55614 13.81854 38.9
S909 182.38838 14.31457 20.2
S910 182.85907 13.70928 24.7
S911 146.2028 36.03517 40.8
S912 183.26364 13.82868 45.2
S913 181.29639 13.26437 37.8
S914 9.3057 14.35052 16.7
S915 181.5275 13.60077 25.4
S916 146.6474 36.92287 18.2
S917 144.92912 37.18109 39.8
S918 145.28932 37.67529 41.7
S919 145.38455 38.16837 39.2
S920 184.22363 30.0691 11.6
S921 184.39474 29.32328 15.6
S922 183.77014 30.10492 15.7
S923 183.68596 30.72015 47.2
S924 176.67262 26.45094 18.5
S925 182.72688 30.25071 30.3
S926 174.2765 25.70451 28.2
S927 174.16 26.01183 34.2
S928 174.45178 26.53771 21.8
S929 174.40131 26.36487 23.1
S930 175.19366 25.54667 23.1
S931 176.51677 26.13855 17.1
S932 176.13373 26.33126 28.3
S933 183.77628 28.93671 12.6
S934 183.07541 28.43391 12.2
S935 182.53426 30.88315 13.7
S936 181.79668 28.98115 16.4
S937 184.02618 19.33243 23.6
S938 183.90523 21.43765 15.4
S939 184.56161 21.07249 16.6
S940 184.33768 21.06975 9.9
S941 184.77098 21.11484 32.4
S942 185.38707 19.02646 33.9
S943 172.1362 28.45393 10.7
S944 173.66884 28.45492 19.0
S945 173.90709 28.30411 42.3
S946 174.14018 27.99474 26.2
S947 172.30713 26.54774 35.0
S948 173.83757 28.76808 14.4
S949 172.86246 27.67689 27.6
S950 173.63049 27.35806 22.6
S951 174.37567 27.4244 25.8
S952 174.26778 27.26432 46.6
S953 171.44244 44.46763 37.5
S954 171.46544 44.41793 16.8
S955 172.99586 44.96526 19.6
S956 173.53192 45.43042 18.9
S957 180.33981 32.1961 12.2
S958 179.88115 31.04961 14.0
S959 180.1617 32.13326 17.9
S960 179.38209 31.29968 18.5
S961 180.87784 29.51914 15.0
S962 181.58112 31.86039 11.0
S963 181.69566 30.93895 15.5
S964 180.90549 32.22369 21.7
S965 125.66541 15.29351 18.1
S966 126.26006 16.72206 18.7
S967 126.51965 16.49643 14.6
S968 127.64046 16.81195 45.6
S969 180.70801 30.51704 13.0
S970 180.50185 30.18458 16.3
S971 179.88518 29.90394 37.2
S972 122.21169 18.94963 13.3
S973 121.98962 18.07195 14.1
S974 122.33505 18.72543 30.7
S975 122.22775 18.20518 22.6
S976 49.55043 -7.23592 18.7
S977 50.21692 -6.40113 28.5
S978 48.33022 -7.03726 23.8
S979 48.7808 -6.04325 33.1
S980 49.22847 -7.36335 11.6
S981 49.4576 -7.9577 16.8
S982 113.84368 44.06577 41.5
S983 122.01122 66.8409 57.0
S984 119.19434 65.57241 18.8
S985 120.43996 65.66253 26.9
S986 115.02639 41.95472 13.4
S987 171.71577 58.49229 21.2
S988 105.94872 29.63825 42.7
S989 143.57034 22.95439 10.2
S990 142.6421 22.72113 16.5
S991 44.42161 -0.44166 27.9
S992 44.98168 -0.15786 23.7
S993 44.23172 -0.96126 23.0
S994 45.96043 0.70262 30.3
S995 44.1129 0.17921 52.9
S996 178.96365 48.92455 12.6
S997 179.36259 49.02045 13.5
S998 178.33791 49.71313 10.9
S999 177.7393 49.00413 57.3
S1000 177.85126 50.01738 41.0
S1001 145.4202 37.64245 41.1
S1002 145.03384 37.48114 42.2
S1003 145.02689 38.10311 31.4
S1004 142.87581 38.95544 43.4
S1005 143.72899 39.06615 29.9
S1006 145.40254 39.2025 12.9
S1007 154.03748 18.29938 32.7
S1008 152.89889 17.95033 22.7
S1009 153.97249 19.8222 18.2
S1010 110.08701 38.60319 11.7
S1011 109.3621 39.54665 19.8
S1012 109.26183 40.91069 25.8
S1013 110.28506 41.2029 51.2
S1014 36.06605 -0.10034 28.7
S1015 35.57267 -0.41656 11.7
S1016 36.53466 0.85404 21.9
S1017 36.42828 0.57203 27.8
S1018 37.44229 0.29603 24.9
S1019 37.229 0.07056 29.0
S1020 37.21971 0.91145 34.3
S1021 142.98769 16.13712 18.3
S1022 144.30247 15.80846 14.7
S1023 143.96492 15.24181 18.6
S1024 143.1543 15.13435 10.0
S1025 142.92718 14.98445 20.8
S1026 17.07 -10.7379 36.7
S1027 17.0536 -10.7856 35.3
S1028 17.0251 -10.6911 20.5
S1029 50.63241 0.0335 29.0
S1030 50.06797 0.84873 30.4
S1031 50.10463 0.61493 30.9
S1032 47.91962 0.0969 31.0
S1033 49.69901 -1.00573 14.4
S1034 17.2722 -10.2014 47.3
S1035 16.4372 -10.7071 30.2
S1036 16.3469 -10.0491 22.2
S1037 16.0137 -10.2839 22.7
S1038 15.3454 -10.1058 26.4
S1039 149.50159 43.65241 13.9
S1040 149.47887 42.98188 10.8
S1041 150.34323 43.17031 43.9
S1042 150.49826 43.87114 32.6
S1043 150.7701 43.65996 11.8
S1044 151.56317 42.99858 10.5
S1045 15.0668 -9.61124 45.0
S1046 15.7972 -9.00017 12.3
S1047 15.6113 -9.57939 34.1
S1048 16.3407 -9.10079 34.6
S1049 15.9086 -9.3052 22.4
S1050 17.0566 -9.54342 33.4
S1051 17.3856 -9.64245 33.8
S1052 158.56015 55.94105 33.9
S1053 158.95732 56.34751 40.6
S1054 130.22501 15.40238 16.2
S1055 130.14462 15.24806 20.4
S1056 128.52444 12.45573 11.8
S1057 128.86496 13.45687 40.7
S1058 157.80542 53.92675 39.0
S1059 159.6223 53.71745 13.4
S1060 128.06586 14.22335 52.5
S1061 128.05263 14.9136 40.3
S1062 127.62619 14.50392 13.0
S1063 127.74526 14.85928 16.1
S1064 124.06049 31.1252 31.4
S1065 125.63329 31.34232 24.8
S1066 124.31877 30.37564 47.7
S1067 119.76991 30.14384 38.7
S1068 118.25382 29.99805 13.5
S1069 118.21801 29.92258 46.6
S1070 153.55363 20.61286 36.5
S1071 151.00444 20.88494 23.8
S1072 152.52199 20.87084 14.2
S1073 148.37794 45.57001 28.1
S1074 148.88045 45.50292 10.4
S1075 149.61494 45.7398 33.7
S1076 153.13036 21.67935 24.5
S1077 151.36964 44.8902 19.5
S1078 150.6235 45.60644 10.0
S1079 154.06786 9.14367 30.8
S1080 153.62677 9.87155 37.2
S1081 153.93539 8.33122 12.2
S1082 46.94112 -7.42469 29.2
S1083 141.77035 14.00141 10.7
S1084 141.79236 14.5057 14.1
S1085 140.87157 13.58746 15.6
S1086 45.54769 -7.50077 26.0
S1087 142.16161 15.14909 16.7
S1088 141.76811 14.78528 10.8
S1089 140.35117 13.80444 10.6
S1090 154.40665 7.63097 17.1
S1091 155.68086 8.27142 23.3
S1092 155.37692 7.80382 15.3
S1093 47.5172 -7.74252 14.0
S1094 126.95157 31.16291 51.8
S1095 129.98891 46.44573 11.7
S1096 129.05611 45.85567 17.2
S1097 126.75707 31.78215 55.8
S1098 128.96855 47.67311 39.3
S1099 127.8413 31.89213 20.8
S1100 9.11089 -10.7809 21.2
S1101 7.29961 -9.27178 20.2
S1102 7.8387 -9.46573 14.1
S1103 132.48228 56.22523 14.2
S1104 130.65211 56.12295 14.1
S1105 133.07237 54.9095 10.6
S1106 133.36012 55.09859 14.8
S1107 52.99142 16.82507 11.8
S1108 53.0852 17.40513 37.7
S1109 52.58024 17.25299 30.4
S1110 35.47039 -7.73284 19.1
S1111 34.91083 -7.61973 23.7
S1112 34.31153 -8.37213 9.3
S1113 148.83768 53.02194 16.7
S1114 148.38905 53.32644 23.7
S1115 148.4949 53.22973 17.1
S1116 148.30099 53.47985 25.4
S1117 147.68022 54.1271 21.3
S1118 148.0537 54.54508 10.2
S1119 149.73924 54.71935 55.3
S1120 125.73847 46.36161 19.0
S1121 149.42664 3.42913 20.7
S1122 149.88124 3.32471 16.4
S1123 149.7086 2.76601 11.6
S1124 150.2953 2.88185 9.8
S1125 150.91351 2.34915 13.1
S1126 35.04005 -8.98469 19.7
S1127 35.25434 -9.72979 20.1
S1128 35.35469 -9.64822 16.2
S1129 36.43478 -8.11015 26.2
S1130 125.39676 46.28271 14.0
S1131 3.34404 -6.96211 10.3
S1132 137.49747 37.56774 15.3
S1133 135.92683 38.82263 40.4
S1134 136.31099 38.99594 41.2
S1135 138.05588 38.99225 13.8
S1136 170.44694 38.5571 41.3
S1137 169.45529 38.12112 18.1
S1138 170.01721 38.39857 15.7
S1139 168.96172 38.18618 22.5
S1140 169.70932 39.51955 12.0
S1141 170.35226 39.17784 21.8
S1142 170.0769 40.22834 14.8
S1143 144.50793 8.44951 23.4
S1144 40.14324 0.94123 23.6
S1145 39.7705 0.49238 34.8
S1146 39.26845 0.47641 25.4
S1147 38.36364 -0.91403 11.3
S1148 40.11544 -0.24949 26.2
S1149 40.40212 -0.35323 16.8
S1150 142.78519 6.4227 21.1
S1151 143.60588 7.32768 12.1
S1152 129.28398 26.70038 25.9
S1153 129.44221 26.37567 40.7
S1154 129.211 25.98441 31.2
S1155 61.72711 -4.53934 32.0
S1156 62.38251 -4.34548 13.0
S1157 62.92265 -5.7584 27.5
S1158 72.93339 -4.85475 12.2
S1159 72.44999 -5.55734 11.4
S1160 71.96198 -4.93839 26.8
S1161 72.40603 -4.41461 22.3
S1162 14.7685 -0.70581 21.6
S1163 72.81882 -4.594 20.9
S1164 73.8125 -4.54195 14.7
S1165 16.0436 0.32328 28.9
S1166 14.8122 -0.2566 18.3
S1167 130.74368 24.63005 12.9
S1168 15.6718 -0.13561 28.7
S1169 15.3241 1.19397 12.0
S1170 352.17203 -10.22485 61.7
S1171 352.29263 -10.9607 23.2
S1172 351.81595 -10.81303 18.8
S1173 156.27829 36.46474 59.9
S1174 154.27882 37.00208 17.1
S1175 154.83659 35.00413 17.5
S1176 154.8692 34.68137 10.2
S1177 353.7818 -8.99946 22.5
S1178 153.52743 35.80223 26.4
S1179 155.2597 35.78189 11.9
S1180 353.79083 -9.40319 47.8
S1181 353.49051 -9.62342 64.4
S1182 353.16171 -9.64564 24.8
S1183 352.84485 -9.48067 17.0
S1184 120.16825 19.25053 19.6
S1185 12.7401 -1.14354 34.1
S1186 12.3361 -0.86344 48.2
S1187 120.43517 19.77195 10.2
S1188 11.8531 -0.55667 33.5
S1189 12.9641 0.37599 10.5
S1190 40.155 28.28711 12.3
S1191 38.18468 28.02438 16.1
S1192 17.4424 18.9332 10.7
S1193 16.9912 18.7271 34.8
S1194 18.1623 17.7939 22.4
S1195 17.5804 16.7507 21.3
S1196 109.53886 31.59824 23.6
S1197 18.9486 16.8575 26.7
S1198 108.47715 31.44446 38.4
S1199 107.64702 30.85094 21.5
S1200 31.5201 5.71451 22.1
S1201 30.4164 5.71318 28.3
S1202 31.3834 7.97431 29.1
S1203 31.4965 7.65442 29.4
S1204 30.6294 7.98941 29.6
S1205 29.8671 7.45878 10.2
S1206 30.3189 6.4424 31.0
S1207 32.065 6.86827 55.0
S1208 56.418 0.68166 27.3
S1209 54.66124 -0.81439 9.9
S1210 54.63752 -1.11266 11.0
S1211 32.2175 7.64868 35.0
S1212 55.0925 -0.51498 12.3
S1213 30.4427 7.79637 20.2
S1214 54.65133 -0.27396 17.1
S1215 126.72636 40.45243 38.1
S1216 128.09042 39.50761 58.6
S1217 124.93935 39.964 26.5
S1218 10.28347 14.37649 15.3
S1219 9.88914 15.14316 18.6
S1220 118.05979 40.84132 37.7
S1221 117.11256 40.21011 56.2
S1222 115.49974 41.02638 31.5
S1223 116.21259 42.20985 39.1
S1224 117.37985 41.72598 26.2
S1225 341.13681 13.08171 14.4
S1226 341.0249 13.47366 12.8
S1227 338.98672 12.95626 11.6
S1228 339.18973 13.72521 9.8
S1229 339.58612 13.35601 57.4
S1230 340.505 13.47638 19.6
S1231 339.211 12.72976 24.0
S1232 338.87302 13.82521 25.4
S1233 339.23651 14.74145 10.4
S1234 339.48852 14.70704 30.8
S1235 339.36584 14.02401 57.8
S1236 339.50336 13.96913 10.1
S1237 340.22592 14.84582 16.1
S1238 28.3853 13.1001 28.7
S1239 332.74332 0.68978 20.1
S1240 29.6304 13.3375 27.1
S1241 332.90436 0.36906 13.2
S1242 28.0987 12.9394 25.8
S1243 333.53 1.21363 14.8
S1244 29.3985 13.8817 25.7
S1245 29.9193 14.7271 30.9
S1246 332.21201 0.17784 23.1
S1247 332.35825 1.19262 20.4
S1248 332.14764 0.91107 17.0
S1249 332.13492 1.20603 11.8
S1250 333.93375 -1.06618 12.4
S1251 332.24155 -0.57284 31.1
S1252 332.18619 0.00672 20.7
S1253 342.41354 -1.23595 31.5
S1254 343.2449 -0.95303 31.7
S1255 344.42966 -0.30801 18.5
S1256 8.42927 24.65005 26.2
S1257 9.1032 26.11742 33.3
S1258 7.27299 25.43955 17.8
S1259 354.25915 -11.04706 13.3
S1260 355.37634 -10.6692 19.3
S1261 354.91937 -10.49433 42.8
S1262 354.28592 -9.71861 28.2
S1263 18.5804 6.54395 29.4
S1264 18.4078 6.71207 20.8
S1265 18.1035 6.14885 30.5
S1266 17.5878 7.09383 31.8
S1267 17.878 7.63372 31.0
S1268 339.10696 12.57994 35.6
S1269 338.82089 12.74994 36.1
S1270 18.5311 7.68955 33.9
S1271 18.9679 7.39566 16.4
S1272 19.4118 8.36238 15.1
S1273 337.18173 13.18748 10.0
S1274 336.66623 14.02163 15.4
S1275 337.14954 14.01394 23.2
S1276 337.3634 13.76255 17.8
S1277 337.86014 14.19912 51.4
S1278 338.7456 13.67523 13.9
S1279 338.43866 14.18099 30.9
S1280 338.36661 14.53401 10.0
S1281 12.35167 15.29121 11.3
S1282 11.4119 14.20658 18.2
S1283 10.72981 15.61335 13.3
S1284 357.17023 15.09701 9.2
S1285 354.82107 15.51629 24.6
S1286 354.61716 14.87323 23.6
S1287 355.11203 13.93435 25.1
S1288 302.39227 -11.64259 14.1
S1289 303.40192 -12.09911 12.4
S1290 302.60403 -10.83773 24.0
S1291 301.89255 -11.81367 13.1
S1292 303.60077 -11.62768 11.1
S1293 301.8786 -11.48931 14.4
S1294 303.32162 -11.35755 21.3
S1295 304.12927 -12.09148 27.9
S1296 302.29962 -11.20601 16.6
S1297 302.4165 -11.08895 15.7
S1298 302.22436 -11.26659 13.7
S1299 302.44858 -11.02192 12.9
S1300 303.75641 -11.46267 10.5
S1301 302.07382 -12.15475 19.5
S1302 302.85809 -10.88602 16.4
S1303 304.29782 -11.6745 23.4
S1304 302.01385 -12.00869 33.2
S1305 302.97653 -11.37527 20.0
S1306 302.28754 -12.75505 24.9
S1307 302.24246 -12.60674 18.2
S1308 303.01953 -12.42294 12.9
S1309 303.40411 -12.61913 47.8
S1310 303.1655 -13.42252 9.9
S1311 302.99762 -11.67535 13.6
S1312 304.68014 -11.59801 24.9
S1313 303.95206 -12.32656 21.7
S1314 302.26587 -11.98254 18.7
S1315 303.56076 -13.53415 18.7
S1316 304.27728 -12.65375 14.8
S1317 304.25409 -12.87256 15.7
S1318 304.03207 -13.33347 12.7
S1319 303.19299 -11.37684 12.9
S1320 302.11926 -12.04908 16.3
S1321 302.39477 -11.51059 14.3
S1322 302.16354 -11.39671 20.5
S1323 5.99072 8.14619 52.8
S1324 354.74481 -0.96136 11.1
S1325 354.40204 -0.42371 58.3
S1326 352.46133 -0.04981 33.0
S1327 352.6539 0.37646 36.5
S1328 358.35821 15.92692 10.6
S1329 357.04495 14.82995 77.1
S1330 358.35751 14.34315 19.5
S1331 304.25879 -13.80438 25.1
S1332 304.23914 -13.84128 11.2
S1333 306.62692 -12.95127 17.7
S1334 304.17319 -13.15132 34.0
S1335 306.75241 -13.06727 16.1
S1336 304.52762 -13.6582 16.6
S1337 304.38211 -13.37937 16.9
S1338 304.87561 -13.77287 10.8
S1339 304.88165 -13.85941 13.7
S1340 304.9516 -14.20834 13.9
S1341 304.86932 -14.08625 13.7
S1342 305.19934 -13.36456 14.6
S1343 304.8963 -12.92962 12.0
S1344 304.91098 -13.37647 10.4
S1345 304.99469 -13.42792 22.5
S1346 305.02508 -13.97554 16.9
S1347 305.71582 -13.46693 15.6
S1348 306.24902 -13.85211 15.3
S1349 305.85522 -13.94682 20.0
S1350 306.30585 -12.13841 9.4
S1351 306.45673 -12.11462 12.0
S1352 306.41534 -13.19087 12.5
S1353 306.11175 -12.74355 14.1
S1354 305.73801 -12.07181 29.9
S1355 305.53302 -11.90669 15.9
S1356 306.05014 -12.65482 17.8
S1357 305.64102 -12.82193 9.6
S1358 305.41922 -12.85843 11.8
S1359 305.12454 -11.82032 17.6
S1360 305.06146 -11.80381 9.8
S1361 303.98505 -12.39008 17.3
S1362 304.52188 -12.27776 26.2
S1363 304.79504 -11.87857 12.7
S1364 304.84375 -11.71597 10.9
S1365 305.04962 -12.17491 9.9
S1366 304.96991 -11.99604 11.4
S1367 305.02862 -11.90283 21.4
S1368 304.54816 -12.03447 16.4
S1369 221.22549 -0.07857 11.7
S1370 291.67084 61.77835 41.5
S1371 290.79129 63.2447 34.0
S1372 291.27542 63.5239 27.9
S1373 291.41733 62.57936 26.7
S1374 221.69305 0.43014 19.3
S1375 221.80846 0.46689 9.5
S1376 222.08081 0.14284 23.7
S1377 222.03365 1.18632 12.3
S1378 222.11023 -0.47315 22.6
S1379 319.92844 -7.45085 27.3
S1380 221.26967 -1.06882 13.0
S1381 222.39375 -0.53548 8.0
S1382 221.27142 -0.45162 22.7
S1383 320.4545 -7.53559 40.1
S1384 222.63803 -1.05747 5.8
S1385 319.81851 -6.64052 38.5
S1386 221.8698 -1.07718 12.8
S1387 222.21718 -1.01844 16.3
S1388 223.21716 -0.76963 5.5
S1389 320.32806 -6.01264 30.5
S1390 220.93332 -0.95587 10.9
S1391 290.96451 62.41988 53.6
S1392 221.70155 -0.30824 7.3
S1393 321.19778 -7.3303 26.9
S1394 321.84335 -7.39333 30.3
S1395 198.33427 -0.08361 14.2
S1396 196.87265 -0.02633 23.5
S1397 227.16766 31.91007 32.4
S1398 197.03162 0.25137 6.3
S1399 199.30472 0.24621 16.5
S1400 197.32486 0.10348 10.2
S1401 198.76646 -0.33714 14.3
S1402 197.78827 -0.30559 12.7
S1403 197.51659 -1.01126 8.4
S1404 198.36844 0.4475 18.2
S1405 283.32898 19.91399 28.9
S1406 282.91663 20.07987 25.2
S1407 282.86237 19.89066 27.4
S1408 282.66406 18.18441 8.4
S1409 282.09042 18.28061 10.4
S1410 283.17364 18.88105 18.4
S1411 282.99066 18.79819 8.8
S1412 282.36221 19.54999 9.4
S1413 282.87079 19.72521 12.9
S1414 283.19952 18.17411 6.7
S1415 282.86523 18.52516 4.2
S1416 282.40427 19.16678 9.0
S1417 283.77136 19.99839 9.4
S1418 283.34912 20.08632 9.8
S1419 284.14926 19.76545 9.0
S1420 284.00088 19.41597 14.9
S1421 283.56421 19.59616 8.0
S1422 282.88943 19.94329 11.5
S1423 283.50375 19.57876 7.0
S1424 220.93904 21.1315 8.9
S1425 280.22214 64.43345 26.9
S1426 279.2106 64.42725 19.7
S1427 279.09036 63.76942 14.7
S1428 275.52942 64.30206 8.8
S1429 277.63049 64.07185 6.6
S1430 220.384 19.75661 12.8
S1431 281.5965 64.37654 25.3
S1432 220.54127 21.62405 16.8
S1433 220.14496 21.72807 6.7
S1434 219.04556 19.85253 12.1
S1435 276.81668 63.76111 9.6
S1436 280.3732 63.66522 19.0
S1437 276.05722 64.73833 14.6
S1438 276.86328 65.2221 25.1
S1439 276.89954 63.21562 12.9
S1440 289.48456 62.69256 20.1
S1441 289.66318 61.67644 19.8
S1442 291.90649 61.39851 7.8
S1443 294.00641 62.98316 12.7
S1444 291.1731 63.80475 13.2
S1445 292.72092 62.25279 5.9
S1446 232.96216 39.18957 23.4
S1447 229.62457 39.96791 9.2
S1448 231.68271 38.36348 12.2
S1449 291.64169 61.99781 21.5
S1450 230.23233 38.60508 8.3
S1451 231.95857 40.45805 4.1
S1452 290.31033 62.22455 14.3
S1453 231.57709 40.7273 11.0
S1454 231.32732 38.29702 8.0
S1455 231.64593 38.65586 4.7
S1456 230.80485 39.18098 17.9
S1457 232.63177 38.7502 10.9
S1458 231.63547 40.29843 13.0
S1459 230.36691 40.23428 16.2
S1460 232.23666 39.27647 10.3
S1461 225.4344 32.0213 9.5
S1462 225.7336 31.50152 15.9
S1463 226.68182 30.95648 12.0
S1464 226.84 31.59676 15.5
S1465 224.93387 32.71112 14.3
S1466 226.98408 32.40837 22.1
S1467 224.96651 32.79987 12.4
S1468 226.48616 30.95931 9.2
S1469 230.09453 6.01656 6.1
S1470 302.78934 -11.44813 12.4
S1471 230.36862 8.21204 5.2
S1472 302.34106 -10.7749 6.3
S1473 242.07397 3.51784 5.4
S1474 242.84817 3.38882 11.5
S1475 301.95496 -10.78229 12.3
S1476 301.80334 -10.26916 22.6
S1477 302.54999 -10.41377 5.5
S1478 242.07097 5.33714 11.9
S1479 242.41878 4.72069 10.7
S1480 228.22092 6.71964 10.3
S1481 229.60591 8.14563 18.3
S1482 243.56236 3.52752 6.5
S1483 301.30469 -10.15709 14.0
S1484 243.63112 3.73721 9.8
S1485 242.02905 4.95121 6.7
S1486 303.26266 -11.06507 8.6
S1487 301.38699 -12.34559 6.7
S1488 301.5546 -12.42698 10.5
S1489 242.58943 4.07481 6.1
S1490 229.19302 7.09943 20.7
S1491 241.2906 3.77096 7.7
S1492 228.51904 7.20883 10.5
S1493 230.28436 7.57371 22.1
S1494 240.95973 3.90341 10.2
S1495 300.95825 -12.19557 11.1
S1496 303.14023 -11.47074 7.6
S1497 301.93195 -10.74213 17.6
S1498 301.81811 -10.60697 6.6
S1499 301.02222 -11.68769 23.7
S1500 300.57831 -11.76488 23.5
S1501 301.84296 -12.03848 7.4
S1502 300.86151 -11.02089 10.1
S1503 301.73273 -11.39917 12.4
S1504 301.58847 -11.55344 10.3
S1505 301.77505 -11.50825 25.4
S1506 302.01422 -11.55812 8.6
S1507 243.03067 4.5091 6.4
S1508 242.48279 4.54249 19.1
S1509 228.28857 7.17787 15.1
S1510 302.76492 -11.81286 12.2
S1511 241.97044 4.59487 11.8
S1512 301.63708 -12.49273 11.9
S1513 301.13544 -10.52333 12.1
S1514 230.04842 8.31975 7.5
S1515 301.6568 -12.08351 8.5
S1516 301.52173 -12.2149 13.8
S1517 243.0545 3.73479 6.1
S1518 302.62527 -11.64923 12.8
S1519 252.08672 12.54212 16.2
S1520 242.64058 4.28066 10.5
S1521 300.91901 -11.51861 13.0
S1522 300.99399 -12.23416 9.7
S1523 301.45181 -11.62256 19.2
S1524 301.02948 -11.65686 9.7
S1525 301.33472 -10.16838 8.9
S1526 302.87457 -12.07158 3.4
S1527 302.48288 -12.07606 9.9
S1528 302.5238 -12.07427 8.2
S1529 302.95718 -11.38864 11.9
S1530 302.84286 -11.84517 9.3
S1531 230.0833 6.28874 20.1
S1532 301.2634 -10.68479 10.8
S1533 301.41159 -10.98559 11.9
S1534 301.46838 -11.99027 17.2
S1535 301.64636 -11.08816 8.7
S1536 301.45602 -12.12539 5.0
S1537 230.19707 8.32 10.8
S1538 302.22687 -11.43108 9.1
S1539 301.49802 -11.21034 17.4
S1540 301.11642 -10.90869 8.1
S1541 301.79117 -10.1821 6.8
S1542 301.32529 -11.07255 30.8
S1543 300.72595 -10.62611 25.0
S1544 300.56546 -11.77897 29.9
S1545 300.61011 -11.45478 28.9
S1546 301.15369 -10.38953 27.5
S1547 301.47858 -12.6236 27.9
S1548 221.05275 1.07897 53.7
S1549 223.12527 -0.70328 49.6
S1550 221.71925 -0.7479 51.6
S1551 222.32297 -0.43799 30.2
S1552 221.72389 1.03732 65.3
S1553 221.59112 -0.07687 47.7
S1554 222.1748 0.47822 24.5
S1555 221.36629 -0.86937 60.4
S1556 221.58749 0.82956 57.5
S1557 222.4465 -0.8931 58.4
S1558 221.7467 0.82481 41.2
S1559 221.66075 0.75031 52.4
S1560 223.02782 -0.2714 50.7
S1561 223.09747 -0.23951 50.4
S1562 198.05354 1.03758 49.2
S1563 198.48811 0.0276 49.6
S1564 198.97243 0.84074 42.8
S1565 196.76833 -0.09331 30.3
S1566 198.53342 0.24382 46.5
S1567 241.13231 4.21366 28.0
S1568 263.12741 32.19769 27.8
S1569 256.61929 27.66653 32.8
S1570 262.37369 32.85437 25.9
S1571 253.58868 24.69517 36.5
S1572 229.66614 6.77368 44.6
S1573 253.67976 24.78287 27.2
S1574 251.81142 24.46347 30.4
S1575 279.2355 41.65146 27.5
S1576 279.20547 42.58077 45.3
S1577 279.10992 40.38277 27.5
S1578 218.17654 9.51674 55.9
S1579 217.37309 8.90909 60.5
S1580 217.95422 8.61512 47.5
