name ra  dec
S164 243.27013 44.96408 20.0
S165 243.44389 45.26288 15.2
S166 252.7727 40.12737 11.9
S167 251.97771 40.03348 19.1
S168 251.55736 39.46136 17.4
S169 251.61439 39.87639 17.5
S170 251.11684 39.94856 11.8
S171 251.59332 40.96526 50.2
S172 251.57754 40.56395 15.8
S173 251.08012 40.54399 14.1
S174 249.91434 39.84459 49.0
S175 249.74235 39.23935 16.7
S176 250.03206 38.66967 27.6
S177 250.98933 39.28664 46.1
S178 251.39555 38.98962 24.8
S179 253.12534 39.01106 37.9
S180 243.59537 46.42758 14.9
S181 244.06168 45.79835 10.9
S182 243.93979 45.97248 17.4
S183 244.38098 45.14858 14.0
S184 252.2917 21.86344 15.1
S185 252.09941 21.89567 9.8
S186 252.10542 22.62841 45.6
S187 252.17247 22.37205 18.9
S188 251.21995 21.67648 12.1
S189 251.22963 21.64012 12.0
S190 251.23822 22.35299 43.5
S191 251.10318 20.49882 27.0
S192 251.2634 20.46059 20.2
S193 251.38626 20.66602 18.5
S194 251.43112 21.29355 32.3
S195 251.69502 20.3223 21.0
S196 251.64037 20.94112 12.5
S197 252.28102 21.57513 40.8
S198 252.87219 20.88466 16.2
S199 252.34199 20.50186 13.9
S200 252.64731 20.33174 13.0
S201 209.57371 42.81634 18.3
S202 207.46121 42.04008 16.0
S203 207.84564 42.82278 12.8
S204 252.95052 21.88266 11.6
S205 253.35197 21.98095 20.0
S206 209.22732 40.29237 11.1
S207 208.80753 40.47443 13.9
S208 208.24919 41.4782 10.2
S209 207.92076 41.15135 13.0
S210 179.07774 48.20114 33.9
S211 179.17297 47.79711 9.8
S212 178.38864 47.14133 16.7
S213 179.1096 47.23467 12.7
S214 178.53903 47.41397 36.2
S215 234.05891 51.19957 25.7
S216 234.87823 52.5677 19.5
S217 230.98431 53.02071 10.5
S218 231.77589 52.12627 40.0
S219 231.68921 51.83404 12.4
S220 223.27975 20.80732 35.1
S221 222.72307 20.9713 44.8
S222 222.15413 20.23209 10.9
S223 221.86322 20.69483 27.4
S224 221.3801 21.40724 11.9
S225 221.99791 22.57445 17.0
S226 221.36554 22.14266 25.3
S227 223.40784 21.48321 13.3
S228 199.18806 -0.85186 17.4
S229 199.37425 -0.91979 12.4
S230 198.8921 0.3068 44.4
S231 199.39044 1.12143 40.6
S232 199.48308 1.12082 15.6
S233 199.61279 1.01824 22.0
S234 199.41789 0.22179 12.5
S235 199.83867 0.49023 41.3
S236 200.36204 1.01358 44.3
S237 200.29063 0.18723 29.8
S238 201.51558 -0.10151 9.6
S239 201.34831 0.52828 17.5
S240 174.29158 48.20382 19.8
S241 199.70079 -0.90471 21.4
S242 174.31335 46.98293 13.4
S243 224.65175 40.44579 10.4
S244 224.57828 41.03566 20.5
S245 222.21188 41.32054 17.2
S246 222.53712 40.28665 11.2
S247 222.95117 42.54678 15.3
S248 201.32655 -0.62271 11.3
S249 201.53816 0.71179 62.5
S250 225.29878 0.79985 34.7
S251 224.12588 0.04191 12.2
S252 224.07283 0.39396 52.1
S253 223.52109 -1.08575 11.4
S254 223.65909 -0.24273 53.6
S255 224.19028 -1.1629 11.3
S256 223.76085 -0.57821 16.0
S257 224.02303 -0.38394 45.6
S258 224.11446 -0.39762 11.0
S259 224.4341 -1.4293 14.1
S260 225.31401 -0.71642 10.3
S261 225.45985 -0.60377 32.8
S262 225.09039 41.763 53.7
S263 200.01762 -0.79117 12.0
S264 213.57391 46.10735 25.0
S265 217.69369 28.68782 22.7
S266 218.27042 28.45446 32.2
S267 217.1879 26.96383 22.6
S268 215.28661 28.40138 12.9
S269 216.22099 26.85062 10.9
S270 217.06197 28.95946 22.9
S271 216.78426 27.41007 10.8
S272 169.63757 60.96908 11.2
S273 169.2662 62.35969 46.0
S274 172.14804 62.40544 13.8
S275 171.75806 61.96842 54.1
S276 168.44688 60.37009 21.9
S277 169.89807 61.91434 14.0
S278 200.73695 42.42368 25.8
S279 199.75737 40.75204 24.8
S280 201.19722 40.80463 28.9
S281 220.53139 40.09164 15.9
S282 220.72157 41.1837 40.8
S283 220.3213 39.85397 41.6
S284 221.93585 39.86319 14.8
S285 222.56323 24.30232 12.5
S286 223.53349 24.62182 25.7
S287 223.26718 22.53084 38.3
S288 223.8261 22.41092 18.5
S289 224.24275 22.55574 48.3
S290 224.22099 22.2757 13.5
S291 203.99274 52.5634 14.8
S292 204.87649 53.30315 12.2
S293 200.97784 53.8148 24.5
S294 200.52393 53.67186 20.4
S295 201.97688 54.52889 18.2
S296 202.34 53.83368 16.9
S297 203.07329 53.87921 60.4
S298 170.84512 15.73383 38.1
S299 169.91334 16.76209 15.9
S300 170.07716 15.96913 11.5
S301 169.45309 16.5038 19.8
S302 170.0773 18.19021 18.8
S303 170.32024 17.78894 57.4
S304 170.43184 18.09093 44.6
S305 170.78883 18.14392 52.0
S306 170.29159 17.3563 12.6
S307 170.59338 18.17232 31.3
S308 170.17023 17.49512 37.9
S309 221.21246 39.13173 38.6
S310 201.22234 24.31006 12.1
S311 200.72954 24.83139 16.2
S312 200.7608 24.38747 15.5
S313 200.65945 24.49925 17.1
S314 200.52731 24.65737 19.9
S315 199.87183 24.75405 19.0
S316 199.66075 24.15837 42.8
S317 199.2513 24.90809 13.9
S318 198.52136 25.43747 19.0
S319 198.68726 25.54128 29.6
S320 200.29503 25.56005 26.7
S321 199.77451 34.06839 53.8
S322 201.1989 25.23621 20.9
S323 200.70564 25.96852 43.9
S324 200.23846 33.22205 22.8
S325 200.46323 33.16003 16.2
S326 201.24342 32.95722 22.7
S327 201.17165 33.68669 21.5
S328 200.29672 32.58496 21.9
S329 199.48639 32.94939 15.3
S330 198.41128 32.31827 22.8
S331 219.09209 30.07534 25.7
S332 217.7839 30.65719 54.7
S333 217.84708 31.01685 12.7
S334 216.32573 30.04495 11.4
S335 225.11754 11.74461 10.3
S336 190.47523 24.15293 15.7
S337 224.36516 11.91785 18.4
S338 189.81493 25.26747 36.0
S339 222.73791 11.26189 23.8
S340 222.48253 12.06249 11.3
S341 189.12016 25.26899 15.8
S342 189.06541 25.28304 17.5
S343 223.07315 12.6457 15.4
S344 188.66663 24.50385 29.5
S345 224.05 12.56844 22.2
S346 188.4845 23.13863 9.9
S347 188.66901 23.04207 21.9
S348 188.58755 23.4092 15.1
S349 189.08234 22.99132 16.0
S350 189.97351 23.34843 22.0
S351 190.00014 23.04986 53.5
S352 178.46088 12.30649 20.2
S353 178.38483 11.78524 17.3
S354 179.7724 13.70785 36.8
S355 178.31677 13.21181 9.8
S356 178.90091 13.41748 10.7
S357 179.35712 12.92616 22.5
S358 179.27389 12.67228 39.2
S359 224.98344 12.21489 59.6
S360 224.64728 12.34968 11.3
S361 223.57007 9.20479 10.3
S362 224.5759 10.53876 52.4
S363 224.14159 9.9696 17.8
S364 223.75261 10.40977 50.6
S365 223.79758 10.17931 10.5
S366 222.00479 10.36624 13.2
S367 222.50174 10.88317 13.3
S368 187.80611 54.24078 26.7
S369 226.52335 44.07685 16.5
S370 228.3186 45.09084 27.7
S371 225.40276 44.41869 20.4
S372 226.29011 45.40682 19.6
S373 187.13957 53.90588 20.1
S374 187.55807 54.02092 12.0
S375 186.03648 54.30051 16.8
S376 226.50482 44.90428 16.2
S377 187.62118 54.35408 10.0
S378 187.05724 54.84246 18.1
S379 183.40282 53.91529 18.9
S380 183.56021 54.78053 35.5
S381 262.16217 35.6036 16.1
S382 167.4577 40.02784 22.6
S383 261.00104 35.96547 10.5
S384 153.62875 53.01749 12.8
S385 153.76318 53.32187 10.3
S386 153.39577 53.3051 37.3
S387 262.05222 36.16654 14.6
S388 214.69522 35.38075 17.8
S389 214.35068 37.00746 18.8
S390 214.93452 36.46229 27.0
S391 215.79932 37.28242 39.0
S392 216.09763 36.6661 13.3
S393 217.0386 36.32769 64.9
