xsource_id,gsource_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,pmra_pmdec_corr,dist
S0,2720582540422393600,331.0473986220114,0.39216872069853287,6.292403808806196,0.6331129714830829,0.7493800520294668,0.47849004130796635,-0.7586968273829174,0.7559491726059784,-1.3916520325706763,1.0430348857009393,407.2751167454684,2.048043223432251,19.163647,312.6221051552946,17.678483667397078,0.29657936,,,NOT_AVAILABLE,,,0.07763021,2.7557661292751814E-5
S1,2721329418055556608,330.6069441434903,0.1048148030289697,6.4294056800847885,0.10307289966452719,0.10114795192314316,0.12426308704647905,0.4127157609273524,0.18319327114661513,-1.725804748159284,0.17138516738369866,2478.987570826799,2.7665585133739468,17.20268,1667.7523564482742,12.790815368039048,0.29020882,,,NOT_AVAILABLE,,,0.15288252,1.4703456968852154E-5
S2,2721521424568808704,330.92495452469757,0.11953348558713148,7.108561520688328,0.1097591199259754,-0.1793384390190968,0.14400847718991291,1.110003652314189,0.18230801262316265,-1.1507438953498952,0.18863961814961228,2181.1352292996817,2.551216914052563,17.34166,1461.632059086471,14.348643876955663,0.27919197,,,NOT_AVAILABLE,,,0.27421024,1.9261484830671714E-5
S3,2721545888702557440,330.81214559181245,0.07438594094165864,7.425352817661767,0.08035655416055011,0.15301968814216335,0.0830321437786371,3.2742635383346705,0.1483742450218418,-0.6324603879219592,0.13348488812082762,5331.635035084723,6.389284222126347,16.371214,3758.528147116109,28.783681137538576,0.17487907,,,NOT_AVAILABLE,9119.0,0.0937,0.04868802,3.127177470920699E-5
S4,2721324057936320768,330.16762710081747,0.3034627337961964,6.3215886611518695,0.2678086420546803,0.19485115380888285,0.3491384721582584,-0.06152016407713824,0.4347403809475528,-0.6727165849563455,0.4577880007129417,678.3707743983981,1.9048688102759639,18.609697,443.9522268494979,13.87095832841672,0.28692245,,,NOT_AVAILABLE,,,0.2515806,1.1699266258216209E-5
S5,2721742082808605952,330.37586013018256,0.06672351534642347,7.419436925907899,0.07870876681204392,0.0030530967057208133,0.08530008797068578,-1.6764348641304005,0.12033098668039079,-3.113186543458136,0.13758812003585597,4449.7604242264415,3.885429748988577,16.567524,2921.399689440443,22.910862944976362,0.36693764,,,NOT_AVAILABLE,8062.3335,0.6505,0.3510615,3.0342047901101724E-5
S6,2721627832382948352,330.3807413033322,0.9175682330579098,7.128230062031917,0.5329946668582093,,,,,,,332.74287936843666,2.0254856560155385,19.383093,220.2331627530456,9.047683413122561,0.4604187,,,NOT_AVAILABLE,,,,1.002176268989719E-5
S7,2721643676517998848,330.155523526463,0.10898039780340614,7.230316659716342,0.09818639401805657,0.2855742458835979,0.11664224153883442,0.3613681592879222,0.2141755324501315,-2.1409778394053878,0.17904292750804593,3774.7664568952687,17.11492499864935,16.746141,2397.6214830594345,36.36000662927268,0.3996315,,,NOT_AVAILABLE,7494.17,0.0128,0.026805548,3.583548533880994E-5
S8,2697270252509233920,330.0745122332552,0.5188366866672299,5.7267694647034855,0.27733319226590264,0.38320852070290207,0.5496791183174261,2.3755577573724818,0.6281656886020721,-3.368695909151434,0.5410496221710075,1378.1484982294241,5.6684056888590435,17.840126,1156.7542518213595,80.48175266613468,0.67134476,,,NOT_AVAILABLE,,,0.065503,2.4502820038327994E-5
S9,2696452452080930176,330.79892455353234,0.11792393407495769,5.458084324422117,0.1283980360008092,0.052216703544134165,0.13985481386360474,0.6063821170046999,0.2596530060521733,-1.3823938791336314,0.2056184722763143,2002.0692947732941,3.405358329455844,17.434668,1379.8031744992775,18.347302590977428,0.22247124,,,NOT_AVAILABLE,,,-0.050454825,1.6317806365296007E-5
S10,1372157186814429824,241.18430215702315,0.03554688851501057,35.82173465624631,0.0424576670009237,0.1949651348477434,0.04809968911652524,-2.0782918013080565,0.08067076384060608,-1.9854873209880717,0.09135626760844756,4272.065899547903,3.177851444643756,16.61177,3002.057497142274,13.992459727089328,0.16832924,,,NOT_AVAILABLE,9363.75,0.0537,0.24541667,1.6609422485824604E-5
S11,1378182063858310272,241.63482416587976,0.032346618597684854,36.330700146946334,0.039969340170049716,0.044563053795217245,0.04098040534247362,-2.9754925478389245,0.07092064319835852,0.31031197846046,0.09411539254900136,6561.80845306804,4.450727103697541,16.145807,4516.034968962947,16.970457125461078,0.22595501,,,NOT_AVAILABLE,8800.75,0.67,0.32850254,3.059971940090617E-5
S12,1372417457536861056,240.3067902484971,0.05042674545340794,36.49534902693697,0.06083091228510764,0.07550188048548394,0.06718298250010706,-2.033118498568421,0.10339360038732555,-1.3357478911374319,0.13868788247843714,2813.9755902421807,1.9873129359804151,17.065065,2021.912572769914,7.970522196310498,0.09513664,,,NOT_AVAILABLE,9530.5,0.239,0.25662407,2.5564174527024385E-5
S13,1373082322770086016,239.62912737770228,0.03434215357733371,36.41263465203301,0.04362762055529991,-0.01181370065291023,0.04907643171996611,-0.9817884720743959,0.07596543494860494,0.4500776037004206,0.0961083529603044,6369.188410685637,4.222009332903134,16.178156,4455.139904209764,14.055782332461584,0.1792221,,,NOT_AVAILABLE,9265.75,,0.20757048,7.54274214359099E-6
S14,1372248888660507648,239.8065927589941,0.0908581466972951,35.67269215598659,0.11039796136779269,-0.16009077674529953,0.12256173196482437,-3.407021449135923,0.19052289342031611,-1.0807575269522958,0.23156278686713236,1029.5645734938412,1.6748473024780843,18.156733,691.8076296101563,10.03163615069702,0.3223095,,,NOT_AVAILABLE,,,0.32611448,2.5248463119866054E-5
S15,1373051772666873728,239.16271826250497,0.06443771486038805,36.15562977085544,0.07155353551982419,0.15334215863738826,0.08310815765381312,-1.2535475680437436,0.12876773522393137,-5.92730611656557,0.16084785837550764,1775.4102824162196,2.0496715076550296,17.565119,1172.6057198263002,6.968463647241232,0.33441544,,,NOT_AVAILABLE,,,0.21719252,1.768893385549402E-5
S16,1379303462639402240,240.00221481310427,0.026648189467854275,37.72831264035115,0.031607035892775956,0.0925848345221294,0.03425415978192591,-3.517341453648476,0.05605070018930383,-0.11486610096235336,0.06766486211603591,8316.84949989412,4.6838527895647255,15.888469,6148.901724404247,22.035791267972545,0.038812637,,,NOT_AVAILABLE,9451.0,,0.26720527,1.2009833097651001E-5
S17,1373214298525546112,240.1853144532751,0.03133479811465865,36.96352070427296,0.03519367480070628,-0.010112521992721196,0.039893883548857215,-4.183027096392042,0.07476352632461179,0.7603852152652042,0.07308576513311561,9370.025307875361,5.003964941436014,15.759014,6611.564616207545,14.515788331534143,0.16788101,,,NOT_AVAILABLE,9271.0,,0.15127575,1.2442069453653991E-5
S18,1378442922991863296,241.40498914012568,0.04539625777877774,37.247164888635005,0.058294738122130936,0.15546885312366895,0.06221908329117873,-2.564676582017726,0.09727770235433345,-0.6524709816786112,0.1345425169966657,3214.814995265005,2.3031816172331743,16.920475,2316.0131973046623,8.036989797548255,0.10058212,,,NOT_AVAILABLE,9566.0,0.046,0.27476534,1.7374011028892457E-5
S19,1378209792167158528,242.0061686697587,0.06648015698849635,36.5685353623862,0.08173068139524448,0.11832474540736013,0.09163060113519722,-3.2818890779887697,0.13828923612817823,0.5184810188328575,0.194108950365252,1836.68487190079,2.0832396896488,17.528278,1182.0123127511526,8.945780824114696,0.41570663,,,NOT_AVAILABLE,,,0.27162883,1.0213435079013754E-5
S20,1378267791405554432,242.34287345492092,0.05063740169910851,36.880567632946786,0.06555957369658043,0.007194178302930529,0.06789881503471558,-1.3672321560474805,0.10547838046324583,-3.199792121916638,0.13620369574647573,2636.456359674196,2.1481388030534325,17.135815,1781.7622367811143,12.340229418866237,0.2820263,,,NOT_AVAILABLE,,,0.26758915,2.4572104793840416E-5
S21,1318217070501454848,245.69168484629267,0.031196468276815856,30.283552602973774,0.045115016042396414,0.033355463837282856,0.05306052487533991,-4.14102850539407,0.0700681358379281,-5.505594063425185,0.09052033152620566,6041.590487316826,3.9413710413051,16.235487,4342.065995247399,11.153295908435252,0.1263485,,,NOT_AVAILABLE,9674.0,,0.29746732,2.1769144179761586E-5
S22,1318285343301603840,245.31711657997548,0.052196465013683614,30.540818777900313,0.07318136131733287,0.0670838145188958,0.07799001255822828,-1.9187724747730759,0.11364296500993261,-0.9263107532955638,0.1490454399674808,2328.6238770243685,1.7991803946589522,17.270617,1670.9265783951844,10.550427471527128,0.106479645,,,NOT_AVAILABLE,,,0.18510814,9.258932540402592E-6
S23,1317860794375142656,244.73749701014836,0.06005281632200022,29.849635984504815,0.08850279132107157,-0.051358879499041006,0.09606240625471396,-1.3307132818808376,0.1537838368609151,-3.4864461775307407,0.25783979037011556,1961.0963183435147,1.885599678600998,17.457119,1319.9919440508108,11.61396362690028,0.2859745,,,NOT_AVAILABLE,,,0.36546874,2.477321443122034E-5
S24,1319078400423102208,244.52997819714454,0.052901228322213216,30.7773314116485,0.07274168110415093,-0.05366992657830358,0.08088986321741168,-1.908679985156024,0.11606510709097358,-1.0261361445637658,0.15889763408007976,2758.541027395374,2.2735868434560644,17.086668,1956.0998633906331,14.580824677473554,0.13402557,,,NOT_AVAILABLE,,,0.3253333,1.8652775760095E-5
S25,1319086230147109376,244.06840124103485,0.07422488578854564,30.754604734821864,0.07866943727296795,7.50021839650511E-4,0.09784792166730631,-2.544543508979478,0.16028553665808326,-1.1791997885851004,0.19146593837073717,1417.9394108719139,1.5322652994670436,17.809221,1011.0815784847908,8.316794797682311,0.10418892,,,NOT_AVAILABLE,,,0.3704645,2.2201485202992655E-5
S26,1319295244731678336,243.7276737397043,0.04819202153314086,30.972902156006565,0.05824895191718373,0.1366617760173857,0.06509612830819407,-1.5193230880671789,0.1096116155604466,-1.7418686990586498,0.1246868300068194,2696.907627240771,2.0701792502665812,17.1112,1889.213134756061,8.494125371337065,0.15396309,,,NOT_AVAILABLE,,,0.3329628,2.1381999966091167E-5
S27,1318678792370056960,244.03793676852428,0.04360210591514397,30.183485226738405,0.05034081644339061,0.10579055044665141,0.06634906279633679,0.02980464243229397,0.09789743383606228,-2.220201928943152,0.10847451742516667,3365.427633596344,2.2260820059507043,16.870766,2344.503775387771,18.052681758979073,0.1949997,,,NOT_AVAILABLE,9085.5,0.3643,0.329327,1.5260743954955874E-5
S28,1318688516175515648,244.09019800899452,0.07906877343888924,30.317372580764534,0.09582460506542613,-0.03805289852869595,0.11907388191517035,-1.034271207466789,0.17551813316768322,-2.859793537961221,0.2156760258936951,1547.4713938302423,1.83508227261254,17.71431,1043.63685461544,7.961232611421846,0.29333878,,,NOT_AVAILABLE,,,0.29403195,1.0141221039938111E-5
S29,1325263904947165824,245.96710248008281,0.041683717230010374,31.973597683219456,0.04952906299111841,0.15405325165996425,0.05767143661906586,-2.6583173326437994,0.0908337872294965,-1.1568528262971451,0.10586951535952349,4182.48662183849,3.0635781796188026,16.634779,3063.4113608041744,12.630848829018987,0.04615593,,,NOT_AVAILABLE,9566.0,0.073,0.33809283,1.5041501885828206E-5
S30,1325465703987176192,245.39563098300414,0.04686496408997466,32.11166207272027,0.06749236835479125,0.13616681838265862,0.06543848510074594,-2.220516136723012,0.11052484139453098,-1.019005266865781,0.1595015364041235,3099.4467348151607,2.1984542902760746,16.960155,2255.9652210407903,7.95393975848545,0.08093071,,,NOT_AVAILABLE,9567.75,,0.41443047,1.1007881780127095E-5
S31,1319526898088059392,244.75409197990234,0.0724156993671738,32.36423201838385,0.09822453581434482,-0.018094894382291934,0.10653434308236173,-1.07835986408562,0.16737319271982873,-0.6624457226886736,0.19862418101061033,1572.2578359703566,2.1026479720727314,17.697056,1079.5227613529662,9.0482856319109,0.23754501,,,NOT_AVAILABLE,,,0.2860318,7.068568465455563E-6
S32,1322385765759082880,243.48003648560848,0.04348532912067303,31.836784069335213,0.06383672286270442,-0.02469059943807304,0.06984863575916216,-2.4762267001956566,0.0970147181118495,-0.6476546858061403,0.14804623158883104,3509.798412291577,2.7710985010408726,16.825161,2495.5290841421984,11.562796883469138,0.13634491,,,NOT_AVAILABLE,9527.0,,0.25367007,2.0838505537713873E-5
S33,1319155503675942784,245.16147499856257,0.05193280299475047,31.054669206465356,0.06725129563488932,-0.027426014140068993,0.07063863819100048,-1.712423814570516,0.11684883278952561,-1.9754071962330224,0.14766115376484645,2269.6253686651876,1.914225626873447,17.298481,1574.5081855525762,8.51217395705906,0.2041359,,,NOT_AVAILABLE,,,0.31606993,3.109018563596644E-5
