name, ra,  dec,
S704 , 264.4406 , 33.3052 ,
S705 , 264.324 , 33.3116 ,
S706 , 306.9432 , 12.6584 ,
S707 , 310.0038 , 14.5116 ,
S708 , 310.4142 , 15.2662 ,
S709 , 311.7017 , 15.2295 ,
S710 , 332.3023 , 20.36 ,
S711 , 264.0267 , 34.1633 ,
S712 , 142.9303 , 24.9948 ,
S713 , 94.8773 , 63.6358 ,
S714 , 93.7314 , 63.683 ,
S715 , 93.3978 , 63.5141 ,
S716 , 94.7576 , 64.235 ,
S717 , 85.4955 , 62.4861 ,
S718 , 302.617 , -12.1219 ,
S719 , 302.3926 , -12.3594 ,
S720 , 302.4858 , -12.2575 ,
S721 , 302.5629 , -12.0349 ,
S722 , 302.4267 , -11.7502 ,
S723 , 302.0878 , -12.5672 ,
S724 , 302.2361 , -11.9022 ,
S725 , 301.8141 , -11.7184 ,
S726 , 301.819 , -11.9548 ,
S727 , 301.8199 , -11.7709 ,
S728 , 302.0017 , -11.6926 ,
S729 , 301.5793 , -11.5178 ,
S730 , 301.6374 , -11.8754 ,
S731 , 301.3836 , -12.0415 ,
S732 , 301.3376 , -11.6987 ,
S733 , 301.7512 , -12.1583 ,
S734 , 301.08 , -11.5924 ,
S735 , 301.4948 , -12.5742 ,
S736 , 300.8826 , -11.5649 ,
S737 , 300.8788 , -10.715 ,
S738 , 300.5752 , -10.9806 ,
S739 , 300.8105 , -10.9372 ,
S740 , 300.6269 , -10.955 ,
S741 , 300.7986 , -11.3954 ,
S742 , 301.5161 , -10.2556 ,
S743 , 301.3165 , -10.6705 ,
S744 , 301.3607 , -11.3418 ,
S745 , 301.7396 , -10.3764 ,
S746 , 301.6187 , -10.494 ,
S747 , 301.6015 , -10.6106 ,
S748 , 301.598 , -11.0017 ,
S749 , 301.7475 , -11.4855 ,
S750 , 302.0808 , -11.0848 ,
S751 , 302.3615 , -11.3901 ,
S752 , 302.2412 , -10.4161 ,
S753 , 302.1548 , -10.6051 ,
S754 , 302.7007 , -11.243 ,
S755 , 302.9204 , -10.6828 ,
S756 , 140.9494 , 21.4493 ,
S757 , 139.7344 , 22.1203 ,
S758 , 139.4279 , 21.9454 ,
S759 , 139.3879 , 22.4528 ,
S760 , 140.589 , 23.3783 ,
S761 , 140.9138 , 23.0251 ,
S762 , 141.4562 , 22.3065 ,
S763 , 321.1968 , -7.9759 ,
S764 , 320.928 , -7.2349 ,
S765 , 320.6196 , -8.065 ,
S766 , 320.0645 , -7.6506 ,
S767 , 320.1584 , -7.1995 ,
S768 , 320.0418 , -7.9525 ,
S769 , 319.9486 , -7.5742 ,
S770 , 319.6277 , -6.3352 ,
S771 , 319.9503 , -6.2585 ,
S772 , 319.9517 , -6.4243 ,
S773 , 319.4785 , -6.92 ,
S774 , 320.3364 , -6.2845 ,
S775 , 320.1773 , -6.529 ,
S776 , 320.17 , -6.0283 ,
S777 , 320.8918 , -6.9108 ,
S778 , 33.639 , 5.563 ,
S779 , 33.0863 , 6.4241 ,
S780 , 32.4025 , 6.397 ,
S781 , 32.0863 , 5.8804 ,
S782 , 32.0386 , 6.148 ,
S783 , 32.4568 , 6.7023 ,
S784 , 32.8769 , 6.7641 ,
S785 , 33.1573 , 6.9683 ,
S786 , 33.5317 , 6.9353 ,
S787 , 33.5891 , 6.8417 ,
S788 , 33.8153 , 7.6021 ,
S789 , 34.1747 , 7.1528 ,
S790 , 34.1259 , 6.7148 ,
S791 , 46.1936 , 4.9116 ,
S792 , 46.5865 , 5.3448 ,
S793 , 45.7395 , 5.2886 ,
S794 , 45.482 , 5.542 ,
S795 , 45.1115 , 5.7006 ,
S796 , 44.7448 , 5.6722 ,
S797 , 44.2747 , 4.9035 ,
S798 , 43.9347 , 6.1879 ,
S799 , 44.525 , 6.0432 ,
S800 , 44.5259 , 6.2277 ,
S801 , 45.8541 , 6.3685 ,
S802 , 45.8755 , 6.1407 ,
S803 , 45.948 , 6.7342 ,
S804 , 333.1093 , 5.3234 ,
S805 , 332.6979 , 5.2579 ,
S806 , 332.7513 , 5.7537 ,
S807 , 332.3792 , 5.5743 ,
S808 , 332.174 , 6.1461 ,
S809 , 331.5726 , 6.5357 ,
S810 , 332.0736 , 6.7691 ,
S811 , 332.7903 , 7.4684 ,
S812 , 332.4685 , 6.9631 ,
S813 , 332.5326 , 6.7456 ,
S814 , 332.8434 , 7.2887 ,
S815 , 333.306 , 7.5247 ,
S816 , 333.1599 , 7.3297 ,
S817 , 333.5155 , -8.5991 ,
S818 , 332.896 , -9.6008 ,
S819 , 332.7587 , -9.5875 ,
S820 , 332.2552 , -8.9453 ,
S821 , 332.131 , -9.272 ,
S822 , 331.6631 , -8.9238 ,
S823 , 331.8797 , -8.8093 ,
S824 , 331.6926 , -9.4294 ,
S825 , 331.7018 , -9.1843 ,
S826 , 331.2678 , -8.6938 ,
S827 , 332.7267 , -7.9489 ,
S828 , 333.4683 , -8.013 ,
S829 , 333.3231 , -7.4677 ,
S830 , 333.3923 , -7.4345 ,
S831 , 345.4841 , 5.8804 ,
S832 , 345.2751 , 5.8075 ,
S833 , 344.5529 , 6.7492 ,
S834 , 344.6499 , 5.9027 ,
S835 , 344.5647 , 6.2011 ,
S836 , 343.5995 , 6.8255 ,
S837 , 343.6129 , 7.0847 ,
S838 , 344.6733 , 7.8765 ,
S839 , 345.0234 , 7.213 ,
S840 , 345.3525 , 7.2325 ,
S841 , 357.2738 , -10.949 ,
S842 , 357.558 , -10.4031 ,
S843 , 356.5059 , -10.1719 ,
S844 , 356.6939 , -9.9494 ,
S845 , 356.3607 , -10.4446 ,
S846 , 356.6581 , -8.6531 ,
S847 , 356.5885 , -9.8136 ,
S848 , 356.7897 , -9.8611 ,
S849 , 357.1354 , -9.8498 ,
S850 , 357.4309 , -9.0524 ,
S851 , 357.9506 , -9.7906 ,
S852 , 10.0321 , 6.8293 ,
S853 , 8.7757 , 7.2295 ,
S854 , 8.4371 , 6.8486 ,
S855 , 8.0924 , 8.4044 ,
S856 , 8.7879 , 8.0092 ,
S857 , 9.0455 , 7.5868 ,
S858 , 17.5588 , -0.7551 ,
S859 , 17.7837 , -0.5584 ,
S860 , 17.5751 , -0.2772 ,
S861 , 16.7558 , -0.6944 ,
S862 , 16.927 , -0.6024 ,
S863 , 16.6462 , -0.404 ,
S864 , 16.4483 , -0.91 ,
S865 , 16.2799 , -0.8285 ,
S866 , 16.2121 , -0.6374 ,
S867 , 15.759 , -0.1365 ,
S868 , 16.716 , 0.9801 ,
S869 , 16.2843 , 0.1336 ,
S870 , 16.4407 , 0.1961 ,
S871 , 16.9875 , 0.6469 ,
S872 , 17.332 , 1.1595 ,
S873 , 17.6458 , 0.7867 ,
S874 , 18.1071 , 0.0195 ,
S875 , 21.9354 , 6.174 ,
S876 , 21.4388 , 6.7619 ,
S877 , 21.1936 , 7.1722 ,
S878 , 20.8651 , 6.9869 ,
S879 , 20.8371 , 6.8047 ,
S880 , 20.3516 , 8.0753 ,
S881 , 20.0724 , 7.3138 ,
S882 , 21.2835 , 7.4379 ,
S883 , 128.2949 , 23.2824 ,
S884 , 128.1626 , 24.2871 ,
S885 , 128.1083 , 24.2569 ,
S886 , 126.9576 , 23.2588 ,
S887 , 126.5066 , 23.8475 ,
S888 , 126.7925 , 24.975 ,
S889 , 126.8676 , 24.8964 ,
S890 , 127.6667 , 25.4957 ,
S891 , 126.9157 , 24.3282 ,
S892 , 128.0163 , 24.5385 ,
S893 , 131.0035 , 53.3467 ,
S894 , 128.0596 , 53.0325 ,
S895 , 127.4546 , 53.3624 ,
S896 , 127.9803 , 54.046 ,
S897 , 129.68 , 55.0878 ,
S898 , 133.4387 , 4.9978 ,
S899 , 133.2147 , 5.302 ,
S900 , 132.5791 , 5.7571 ,
S901 , 132.5809 , 5.9939 ,
S902 , 131.4977 , 5.3043 ,
S903 , 131.7565 , 6.811 ,
S904 , 132.0668 , 6.9772 ,
S905 , 302.2944 , -11.403 ,
S906 , 141.047 , 21.2818 ,
S907 , 141.2842 , 21.5584 ,
S908 , 138.449 , 22.7107 ,
S909 , 139.6988 , 23.0576 ,
S910 , 139.2756 , 22.6552 ,
S911 , 139.9332 , 22.3208 ,
S912 , 140.7888 , 22.9235 ,
S913 , 34.5879 , 6.3247 ,
S914 , 32.1465 , 5.7134 ,
S915 , 32.7822 , 7.2899 ,
S916 , 33.2897 , 6.7155 ,
S917 , 46.3281 , 5.0074 ,
S918 , 45.4772 , 4.85 ,
S919 , 44.346 , 5.303 ,
S920 , 44.1888 , 5.4084 ,
S921 , 44.7287 , 4.7749 ,
S922 , 44.3255 , 5.0091 ,
S923 , 45.3239 , 6.4119 ,
S924 , 45.7741 , 5.8518 ,
S925 , 45.558 , 6.6 ,
S926 , 331.7417 , 7.295 ,
S927 , 332.7159 , 6.7228 ,
S928 , 344.737 , 6.9313 ,
S929 , 344.1243 , 7.2335 ,
S930 , 344.6819 , 8.0618 ,
S931 , 8.3621 , 7.3935 ,
S932 , 16.6274 , 0.7078 ,
S933 , 16.1103 , 0.4891 ,
S934 , 17.5458 , 0.3227 ,
S935 , 17.7103 , 0.8368 ,
S936 , 21.1665 , 7.0586 ,
S937 , 19.7481 , 7.2355 ,
S938 , 22.091 , 7.4652 ,
S939 , 126.1657 , 24.3313 ,
S940 , 127.8483 , 24.5931 ,
S941 , 127.7329 , 24.4591 ,
S942 , 130.3316 , 54.8859 ,
S943 , 131.8703 , 5.5794 ,
S944 , 52.2729 , 4.595 ,
S945 , 49.8489 , 5.0682 ,
S946 , 50.3737 , 5.8297 ,
S947 , 51.1131 , 5.5466 ,
S948 , 51.9554 , 5.9036 ,
S949 , 49.1266 , 4.5018 ,
S950 , 49.4338 , 4.7835 ,
S951 , 49.5805 , 5.2596 ,
S952 , 49.092 , 5.0267 ,
S953 , 48.7207 , 4.2712 ,
S954 , 47.5473 , 4.6593 ,
S955 , 47.055 , 5.4844 ,
S956 , 22.171 , 38.5661 ,
S957 , 22.1427 , 39.0526 ,
S958 , 20.1458 , 40.6864 ,
S959 , 20.7114 , 40.4124 ,
S960 , 106.2686 , 64.5923 ,
S961 , 106.2785 , 64.6712 ,
S962 , 104.9898 , 65.0701 ,
S963 , 104.4056 , 65.6247 ,
S964 , 104.8378 , 66.838 ,
S965 , 108.6467 , 66.2472 ,
S966 , 52.6181 , 4.8245 ,
S967 , 51.4888 , 4.6874 ,
S968 , 51.1904 , 5.034 ,
S969 , 50.5127 , 5.1712 ,
S970 , 50.4695 , 4.9673 ,
S971 , 50.1787 , 4.2258 ,
S972 , 49.9284 , 5.3158 ,
S973 , 50.913 , 5.8505 ,
S974 , 48.2397 , 5.8734 ,
S975 , 48.8087 , 5.816 ,
S976 , 49.1577 , 5.5661 ,
S977 , 44.2225 , 33.8759 ,
S978 , 43.104 , 34.0616 ,
S979 , 42.1029 , 33.6126 ,
S980 , 43.736 , 34.3717 ,
S981 , 39.146 , 24.6114 ,
S982 , 38.9465 , 25.3714 ,
S983 , 38.4028 , 24.259 ,
S984 , 38.6293 , 24.7815 ,
S985 , 38.4648 , 25.3572 ,
S986 , 37.6702 , 24.6213 ,
S987 , 38.7105 , 25.5836 ,
S988 , 39.1024 , 25.6332 ,
S989 , 39.0449 , 25.6294 ,
S990 , 39.2728 , 25.7796 ,
S991 , 134.9039 , 35.8891 ,
S992 , 134.6389 , 35.691 ,
S993 , 133.4779 , 36.7772 ,
S994 , 132.9845 , 36.3702 ,
S995 , 133.9072 , 38.0519 ,
S996 , 133.7314 , 37.4911 ,
S997 , 139.4593 , 30.3332 ,
S998 , 138.8889 , 29.4919 ,
S999 , 140.6036 , 30.763 ,
S1000 , 142.7253 , 6.738 ,
S1001 , 141.6579 , 6.157 ,
S1002 , 141.4732 , 6.6591 ,
S1003 , 141.4064 , 6.8487 ,
S1004 , 140.2717 , 7.2336 ,
S1005 , 141.1431 , 8.016 ,
S1006 , 141.5683 , 8.1899 ,
S1007 , 142.1077 , 7.4884 ,
S1008 , 142.1858 , 7.3211 ,
S1009 , 144.7209 , 61.6559 ,
S1010 , 144.9015 , 62.7782 ,
S1011 , 144.5026 , 62.5575 ,
S1012 , 148.4203 , 62.8747 ,
S1013 , 144.307 , 52.2124 ,
S1014 , 143.8687 , 53.6476 ,
S1015 , 144.2494 , 53.425 ,
S1016 , 144.8453 , 53.3629 ,
S1017 , 145.3301 , 53.1776 ,
S1018 , 145.224 , 53.7057 ,
S1019 , 146.244 , 53.1354 ,
S1020 , 147.0309 , 52.9652 ,
S1021 , 153.6318 , 25.0723 ,
S1022 , 153.7078 , 25.7183 ,
S1023 , 153.1898 , 25.0964 ,
S1024 , 152.1951 , 25.1182 ,
S1025 , 151.5545 , 25.8555 ,
S1026 , 151.7338 , 27.0349 ,
S1027 , 152.189 , 26.5959 ,
S1028 , 151.6595 , 26.4957 ,
S1029 , 152.8706 , 26.6859 ,
S1030 , 153.1102 , 26.2084 ,
S1031 , 153.4813 , 26.9625 ,
S1032 , 152.7866 , 34.0809 ,
S1033 , 152.2648 , 34.2493 ,
S1034 , 152.2422 , 34.2976 ,
S1035 , 151.7747 , 34.8588 ,
S1036 , 151.7533 , 34.2614 ,
S1037 , 151.1742 , 36.2208 ,
S1038 , 151.3978 , 35.6084 ,
S1039 , 152.4941 , 35.4229 ,
S1040 , 152.8091 , 36.3305 ,
S1041 , 153.0553 , 36.4384 ,
S1042 , 153.3609 , 36.3529 ,
S1043 , 162.615 , 0.1483 ,
S1044 , 164.5412 , 47.1076 ,
S1045 , 162.4502 , 46.9985 ,
S1046 , 162.4353 , 48.5632 ,
S1047 , 169.4266 , 9.1848 ,
S1048 , 169.2302 , 9.2206 ,
S1049 , 168.4911 , 9.4557 ,
S1050 , 167.8316 , 10.2924 ,
S1051 , 168.0908 , 10.4616 ,
S1052 , 168.9238 , 9.8049 ,
S1053 , 169.1904 , 10.7786 ,
S1054 , 170.2872 , 58.4559 ,
S1055 , 167.1685 , 58.3271 ,
S1056 , 167.0489 , 58.6994 ,
S1057 , 167.5785 , 59.5123 ,
S1058 , 47.9378 , 39.9668 ,
S1059 , 47.3902 , 41.2961 ,
S1060 , 49.0854 , 41.5868 ,
S1061 , 50.3473 , 41.7472 ,
S1062 , 49.8315 , 41.9755 ,
S1063 , 37.708 , 24.3326 ,
S1064 , 37.679 , 26.4258 ,
S1065 , 135.2081 , 36.2699 ,
S1066 , 133.2246 , 36.663 ,
S1067 , 134.7163 , 37.6102 ,
S1068 , 136.0334 , 37.3369 ,
S1069 , 142.2687 , 6.808 ,
S1070 , 147.9178 , 62.1028 ,
S1071 , 146.0812 , 52.2022 ,
S1072 , 146.7261 , 52.677 ,
S1073 , 146.2799 , 52.2639 ,
S1074 , 152.1462 , 25.3528 ,
S1075 , 151.5487 , 26.8165 ,
S1076 , 152.6187 , 27.1922 ,
S1077 , 152.6513 , 26.0924 ,
S1078 , 152.479 , 34.3922 ,
S1079 , 152.2817 , 33.9797 ,
S1080 , 153.165 , 35.941 ,
S1081 , 152.7571 , 36.0546 ,
S1082 , 153.8473 , 35.3935 ,
S1083 , 154.1671 , 35.5759 ,
S1084 , 153.3976 , 36.1075 ,
S1085 , 168.373 , 8.7898 ,
S1086 , 167.862 , 9.12 ,
S1087 , 168.4531 , 10.5524 ,
S1088 , 168.6259 , 9.9483 ,
S1089 , 169.7462 , 10.6791 ,
S1090 , 167.8085 , 58.7373 ,
S1091 , 167.2142 , 58.7016 ,
S1092 , 169.1344 , 59.4246 ,
S1093 , 44.5701 , 37.153 ,
S1094 , 44.6145 , 38.0856 ,
S1095 , 45.8184 , 38.8573 ,
S1096 , 45.9031 , 39.0441 ,
S1097 , 45.4934 , 37.7821 ,
S1098 , 46.6852 , 38.1998 ,
S1099 , 46.7128 , 38.7593 ,
S1100 , 47.2582 , 38.6915 ,
S1101 , 40.2433 , 28.0842 ,
S1102 , 39.1753 , 27.9297 ,
S1103 , 38.7892 , 27.5309 ,
S1104 , 38.8941 , 29.3528 ,
S1105 , 38.9039 , 28.8715 ,
S1106 , 47.5132 , 38.0819 ,
S1107 , 41.1425 , 28.4255 ,
S1108 , 200.99 , 66.518 ,
S1109 , 193.7803 , 58.7084 ,
S1110 , 193.3837 , 58.8016 ,
S1111 , 193.5219 , 59.5537 ,
S1112 , 192.9314 , 59.117 ,
S1113 , 190.7301 , 59.4811 ,
S1114 , 190.33 , 59.965 ,
S1115 , 191.0793 , 60.285 ,
S1116 , 191.4178 , 59.886 ,
S1117 , 193.1111 , 60.6457 ,
S1118 , 194.29 , 59.9939 ,
S1119 , 216.0405 , 55.7014 ,
S1120 , 214.9817 , 56.2052 ,
S1121 , 214.6838 , 55.5363 ,
S1122 , 213.9405 , 55.8901 ,
S1123 , 213.296 , 55.7945 ,
S1124 , 212.6983 , 55.9382 ,
S1125 , 213.0643 , 57.2651 ,
S1126 , 212.4669 , 56.9586 ,
S1127 , 213.9123 , 57.5758 ,
S1128 , 214.6798 , 57.651 ,
S1129 , 215.0831 , 56.6207 ,
S1130 , 216.7769 , 56.4656 ,
S1131 , 216.9708 , 56.3439 ,
S1132 , 232.0407 , 48.5099 ,
S1133 , 232.0327 , 48.7424 ,
S1134 , 230.6246 , 49.3168 ,
S1135 , 229.6618 , 49.6804 ,
S1136 , 229.9785 , 50.2251 ,
S1137 , 230.0812 , 49.9852 ,
S1138 , 232.0535 , 49.9688 ,
S1139 , 233.5497 , 50.4865 ,
S1140 , 182.8804 , 39.4498 ,
S1141 , 181.794 , 38.7865 ,
S1142 , 181.0232 , 39.0522 ,
S1143 , 181.7593 , 40.9758 ,
S1144 , 181.9447 , 40.5407 ,
S1145 , 182.2619 , 40.0972 ,
S1146 , 182.146 , 40.218 ,
S1147 , 182.8666 , 40.249 ,
S1148 , 182.8183 , 40.925 ,
S1149 , 183.0389 , 40.9443 ,
S1150 , 191.7715 , 28.7932 ,
S1151 , 190.1299 , 29.4947 ,
S1152 , 189.9666 , 30.1421 ,
S1153 , 190.8355 , 30.9108 ,
S1154 , 190.7883 , 30.6414 ,
S1155 , 190.8878 , 31.113 ,
S1156 , 191.7106 , 30.7954 ,
S1157 , 192.3548 , 30.7329 ,
S1158 , 239.2478 , 25.7397 ,
S1159 , 238.8681 , 25.8786 ,
S1160 , 239.6058 , 26.4466 ,
S1161 , 239.8081 , 26.4033 ,
S1162 , 238.7371 , 25.5616 ,
S1163 , 239.4626 , 26.183 ,
S1164 , 238.4077 , 26.2053 ,
S1165 , 237.007 , 26.3913 ,
S1166 , 237.2384 , 26.8316 ,
S1167 , 239.0591 , 26.7919 ,
S1168 , 239.135 , 27.1116 ,
S1169 , 238.589 , 27.2723 ,
S1170 , 239.1826 , 27.435 ,
S1171 , 203.3121 , 65.3515 ,
S1172 , 203.1339 , 67.6036 ,
S1173 , 204.7972 , 67.3225 ,
S1174 , 231.344 , 49.5983 ,
S1175 , 181.9337 , 40.6117 ,
S1176 , 182.2733 , 40.9983 ,
S1177 , 183.8561 , 40.8563 ,
S1178 , 191.6347 , 30.4872 ,
S1179 , 191.0559 , 30.0075 ,
S1180 , 239.6867 , 25.9799 ,
S1181 , 237.9047 , 27.2572 ,
S1182 , 238.6701 , 27.0917 ,
S1183 , 177.8416 , 19.9211 ,
S1184 , 240.1649 , 10.9685 ,
S1185 , 278.2466 , 20.272 ,
S1186 , 277.9968 , 20.4238 ,
S1187 , 278.0229 , 20.6067 ,
S1188 , 278.014 , 20.7745 ,
S1189 , 277.9355 , 21.0015 ,
S1190 , 277.8962 , 21.4429 ,
S1191 , 277.3327 , 21.0319 ,
S1192 , 276.9762 , 20.7453 ,
S1193 , 276.3566 , 21.3717 ,
S1194 , 276.4696 , 21.0355 ,
S1195 , 276.7024 , 20.7352 ,
S1196 , 276.1118 , 21.479 ,
S1197 , 276.9931 , 22.4578 ,
S1198 , 276.8318 , 21.5791 ,
S1199 , 277.2631 , 21.5059 ,
S1200 , 278.1461 , 22.0156 ,
S1201 , 277.8299 , 22.5462 ,
S1202 , 278.8719 , 21.4945 ,
S1203 , 279.1029 , 21.6924 ,
S1204 , 287.6523 , 38.3655 ,
S1205 , 287.372 , 38.6295 ,
S1206 , 287.5172 , 38.5611 ,
S1207 , 286.3481 , 38.8459 ,
S1208 , 286.8444 , 37.8954 ,
S1209 , 286.807 , 37.7194 ,
S1210 , 286.5409 , 38.8734 ,
S1211 , 286.2732 , 38.6648 ,
S1212 , 286.3355 , 38.3976 ,
S1213 , 285.5242 , 38.8139 ,
S1214 , 285.6387 , 38.2664 ,
S1215 , 285.4757 , 39.7543 ,
S1216 , 285.3875 , 39.7069 ,
S1217 , 285.0677 , 39.561 ,
S1218 , 285.2379 , 39.0081 ,
S1219 , 285.025 , 39.1584 ,
S1220 , 285.675 , 38.9663 ,
S1221 , 286.4463 , 40.5443 ,
S1222 , 285.9988 , 38.918 ,
S1223 , 286.3206 , 39.1755 ,
S1224 , 287.461 , 39.0178 ,
S1225 , 288.0756 , 39.6737 ,
S1226 , 218.6146 , 57.4607 ,
S1227 , 219.6197 , 57.816 ,
S1228 , 217.9843 , 56.8254 ,
S1229 , 216.8192 , 57.2346 ,
S1230 , 216.769 , 57.4258 ,
S1231 , 215.4681 , 58.0471 ,
S1232 , 215.1488 , 58.5882 ,
S1233 , 216.9635 , 59.2808 ,
S1234 , 218.0372 , 58.4647 ,
S1235 , 218.5187 , 58.4737 ,
S1236 , 219.0215 , 58.9677 ,
S1237 , 98.2241 , 83.1493 ,
S1238 , 95.5243 , 82.8891 ,
S1239 , 85.5919 , 82.8908 ,
S1240 , 86.4351 , 82.3683 ,
S1241 , 81.1958 , 83.145 ,
S1242 , 81.7653 , 83.7523 ,
S1243 , 135.8316 , 82.3301 ,
S1244 , 137.4921 , 82.8906 ,
S1245 , 135.7631 , 83.2343 ,
S1246 , 116.3619 , 83.9247 ,
S1247 , 115.9419 , 83.3244 ,
S1248 , 122.92 , 84.0308 ,
S1249 , 124.6898 , 83.5603 ,
S1250 , 134.1516 , 83.6149 ,
S1251 , 134.0284 , 83.8636 ,
S1252 , 133.7129 , 83.9783 ,
S1253 , 286.5037 , 38.9124 ,
S1254 , 219.3532 , 58.1417 ,
S1255 , 100.5127 , 83.2876 ,
S1256 , 88.7586 , 82.3905 ,
S1257 , 79.7963 , 84.021 ,
S1258 , 92.5291 , 83.6698 ,
S1259 , 249.3195 , 62.5219 ,
S1260 , 247.5251 , 61.7878 ,
S1261 , 246.8043 , 62.6375 ,
S1262 , 244.9943 , 62.6492 ,
S1263 , 244.9513 , 61.8618 ,
S1264 , 244.0057 , 62.8696 ,
S1265 , 244.1802 , 63.177 ,
S1266 , 248.343 , 63.359 ,
S1267 , 248.7573 , 63.7102 ,
S1268 , 249.7805 , 63.2907 ,
S1269 , 265.1272 , 64.0712 ,
S1270 , 265.428 , 63.9997 ,
S1271 , 263.8431 , 63.4448 ,
S1272 , 264.3697 , 63.7458 ,
S1273 , 262.5157 , 63.3551 ,
S1274 , 262.5969 , 63.6475 ,
S1275 , 263.637 , 63.8024 ,
S1276 , 262.9431 , 64.2594 ,
S1277 , 259.7003 , 64.8961 ,
S1278 , 262.1848 , 64.5464 ,
S1279 , 262.6628 , 65.0084 ,
S1280 , 263.0465 , 64.5063 ,
S1281 , 263.8227 , 64.8358 ,
S1282 , 263.9399 , 64.7909 ,
S1283 , 280.5039 , 63.1113 ,
S1284 , 281.2701 , 63.6193 ,
S1285 , 279.5586 , 63.9878 ,
S1286 , 279.8825 , 64.11 ,
S1287 , 277.8163 , 64.0261 ,
S1288 , 275.5996 , 64.1021 ,
S1289 , 276.0964 , 64.0207 ,
S1290 , 275.9341 , 64.5656 ,
S1291 , 278.2576 , 65.4219 ,
S1292 , 278.4429 , 64.5746 ,
S1293 , 278.3711 , 64.5957 ,
S1294 , 278.445 , 64.3179 ,
S1295 , 279.3802 , 64.4036 ,
S1296 , 278.9395 , 64.4088 ,
S1297 , 279.4299 , 64.8394 ,
S1298 , 279.9303 , 64.872 ,
S1299 , 280.766 , 64.8123 ,
S1300 , 293.1 , 61.3918 ,
S1301 , 292.3945 , 62.4003 ,
S1302 , 291.9951 , 62.0589 ,
S1303 , 290.5881 , 62.4304 ,
S1304 , 289.8353 , 62.0523 ,
S1305 , 290.071 , 61.9424 ,
S1306 , 288.7184 , 62.873 ,
S1307 , 291.0768 , 63.8219 ,
S1308 , 290.8885 , 63.2157 ,
S1309 , 291.7929 , 63.4187 ,
S1310 , 291.7803 , 63.5016 ,
S1311 , 291.9288 , 63.6652 ,
S1312 , 293.8964 , 63.2471 ,
S1313 , 294.6691 , 62.8482 ,
S1314 , 303.0631 , 58.6912 ,
S1315 , 302.9018 , 59.3898 ,
S1316 , 301.2904 , 59.4133 ,
S1317 , 300.5015 , 60.8527 ,
S1318 , 302.1005 , 60.5803 ,
S1319 , 303.1291 , 60.7649 ,
S1320 , 302.4073 , 60.6357 ,
S1321 , 304.4842 , 60.5642 ,
S1322 , 303.6302 , 60.9072 ,
S1323 , 304.8853 , 60.2129 ,
S1324 , 304.5116 , 60.8113 ,
S1325 , 159.262 , 43.5579 ,
S1326 , 159.1323 , 43.9942 ,
S1327 , 158.6997 , 43.7247 ,
S1328 , 157.0106 , 44.0435 ,
S1329 , 157.9953 , 45.1279 ,
S1330 , 157.5589 , 45.2332 ,
S1331 , 159.6764 , 44.4906 ,
S1332 , 160.1186 , 45.1366 ,
S1333 , 186.7787 , -0.8063 ,
S1334 , 186.9753 , -0.3627 ,
S1335 , 186.1367 , -0.8247 ,
S1336 , 186.0208 , -0.5525 ,
S1337 , 185.9465 , -0.6289 ,
S1338 , 185.4533 , -0.5417 ,
S1339 , 185.3595 , -1.0018 ,
S1340 , 185.2502 , -0.439 ,
S1341 , 184.9488 , 0.7411 ,
S1342 , 184.7944 , 0.2566 ,
S1343 , 185.4314 , 0.8165 ,
S1344 , 184.9722 , 0.0978 ,
S1345 , 186.5794 , 0.0546 ,
S1346 , 186.4282 , 0.2364 ,
S1347 , 186.3424 , -0.0287 ,
S1348 , 186.8133 , 0.0317 ,
S1349 , 186.6465 , 1.1717 ,
S1350 , 186.8337 , 0.4022 ,
S1351 , 187.0001 , 0.0584 ,
S1352 , 186.8852 , 0.9171 ,
S1353 , 187.374 , 0.0538 ,
S1354 , 163.2962 , -0.0352 ,
S1355 , 162.8918 , -0.2418 ,
S1356 , 162.7035 , -0.5381 ,
S1357 , 162.0472 , -0.8406 ,
S1358 , 161.7767 , -0.6033 ,
S1359 , 161.622 , -0.3274 ,
S1360 , 161.6336 , -0.7224 ,
S1361 , 161.4436 , -0.1691 ,
S1362 , 161.2722 , -1.1165 ,
S1363 , 160.7578 , 0.1447 ,
S1364 , 160.635 , 0.0328 ,
S1365 , 161.297 , 0.6914 ,
S1366 , 161.2221 , 0.4844 ,
S1367 , 161.6396 , 0.1777 ,
S1368 , 162.4939 , 0.4306 ,
S1369 , 162.7868 , 0.9823 ,
S1370 , 162.921 , 0.5762 ,
S1371 , 246.7499 , 62.2042 ,
S1372 , 248.0695 , 63.735 ,
S1373 , 262.8808 , 63.1639 ,
S1374 , 157.9294 , 43.7574 ,
S1375 , 159.3618 , 44.617 ,
S1376 , 185.0291 , -0.1215 ,
S1377 , 184.6939 , 0.132 ,
S1378 , 186.4541 , 1.1856 ,
S1379 , 162.7141 , -0.8704 ,
S1380 , 153.0567 , 16.3934 ,
S1381 , 337.2025 , 38.6322 ,
S1382 , 337.3049 , 39.2509 ,
S1383 , 336.9171 , 39.1848 ,
S1384 , 335.5454 , 39.0239 ,
S1385 , 335.8834 , 38.9748 ,
S1386 , 335.3463 , 38.5359 ,
S1387 , 334.7191 , 38.3744 ,
S1388 , 333.8049 , 39.5601 ,
S1389 , 335.9596 , 39.9157 ,
S1390 , 343.0398 , 29.7361 ,
