name, ra,  dec,
S161 , 41.2086 , -0.697 ,
S162 , 40.5804 , -0.4129 ,
S163 , 41.2588 , 0.656 ,
S164 , 41.3268 , 0.0922 ,
S165 , 42.6605 , 0.2127 ,
S166 , 42.6194 , 0.3136 ,
S167 , 43.056 , 0.0941 ,
S168 , 43.0116 , 1.0275 ,
S169 , 43.2789 , 0.7083 ,
S170 , 216.1735 , 46.9599 ,
S171 , 197.286 , 11.8386 ,
S172 , 221.0594 , 13.1864 ,
S173 , 115.993 , 45.9854 ,
S174 , 169.4333 , 14.528 ,
S175 , 193.1741 , 15.2654 ,
S176 , 206.218 , 7.4058 ,
S177 , 245.1505 , 22.315 ,
S178 , 288.1851 , 78.0712 ,
S179 , 290.1013 , 79.1427 ,
S180 , 359.5853 , 36.4018 ,
S181 , 358.5352 , 36.2383 ,
S182 , 358.2261 , 36.1001 ,
S183 , 357.386 , 35.7609 ,
S184 , 357.7179 , 37.0025 ,
S185 , 358.0471 , 37.0529 ,
S186 , 358.8868 , 37.2493 ,
S187 , 358.9127 , 37.4873 ,
S188 , 356.4753 , 38.8899 ,
S189 , 355.8445 , 39.7005 ,
S190 , 357.2185 , 40.6597 ,
S191 , 356.5212 , 39.5188 ,
S192 , 355.347 , 42.5086 ,
S193 , 354.9874 , 42.2242 ,
S194 , 354.3564 , 43.1206 ,
S195 , 355.2289 , 44.0844 ,
S196 , 356.393 , 45.4567 ,
S197 , 355.9654 , 45.7318 ,
S198 , 354.8503 , 45.2863 ,
S199 , 354.8102 , 46.7973 ,
S200 , 320.2399 , 9.8437 ,
S201 , 320.1341 , 9.9274 ,
S202 , 318.4988 , 9.4621 ,
S203 , 318.0963 , 11.5224 ,
S204 , 318.6348 , 11.4158 ,
S205 , 318.6402 , 10.6649 ,
S206 , 318.8484 , 10.5655 ,
S207 , 319.3432 , 11.517 ,
S208 , 320.166 , 10.8333 ,
S209 , 340.2236 , 12.4897 ,
S210 , 339.9829 , 14.5929 ,
S211 , 340.9462 , 13.8299 ,
S212 , 341.2177 , 13.9138 ,
S213 , 356.5862 , 14.5372 ,
S214 , 354.3278 , 14.8433 ,
S215 , 356.625 , 15.3882 ,
S216 , 356.5911 , 15.9345 ,
S217 , 10.9419 , 15.3885 ,
S218 , 27.2395 , 13.4991 ,
S219 , 26.063 , 13.9701 ,
S220 , 25.9337 , 13.2996 ,
S221 , 26.0229 , 15.0449 ,
S222 , 26.1146 , 15.1435 ,
S223 , 26.1602 , 14.8067 ,
S224 , 26.4143 , 14.6887 ,
S225 , 27.9486 , 14.6751 ,
S226 , 28.0126 , 14.4321 ,
S227 , 341.5358 , -0.7384 ,
S228 , 342.1516 , -0.3544 ,
S229 , 341.7704 , -0.205 ,
S230 , 341.3918 , -0.5572 ,
S231 , 339.9856 , -0.2951 ,
S232 , 340.1761 , -0.7242 ,
S233 , 339.8232 , -0.6628 ,
S234 , 339.7612 , 0.0318 ,
S235 , 339.8652 , 0.1752 ,
S236 , 340.4731 , 1.1841 ,
S237 , 340.5028 , 0.2581 ,
S238 , 341.3779 , 0.129 ,
S239 , 356.9778 , -0.9064 ,
S240 , 357.2947 , -0.3348 ,
S241 , 356.045 , -0.4532 ,
S242 , 355.9572 , -0.6452 ,
S243 , 355.442 , -0.5562 ,
S244 , 354.7506 , 0.0164 ,
S245 , 356.4572 , 0.8489 ,
S246 , 356.9375 , 0.0356 ,
S247 , 356.8214 , -0.0606 ,
S248 , 356.8485 , 1.1426 ,
S249 , 355.8195 , -0.494 ,
S250 , 355.9792 , -0.2314 ,
S251 , 354.7919 , -0.4981 ,
S252 , 10.2881 , 0.8375 ,
S253 , 11.6833 , 1.1812 ,
S254 , 27.2344 , -0.0787 ,
S255 , 27.3019 , -0.1081 ,
S256 , 26.4655 , -0.4623 ,
S257 , 25.315 , -0.3674 ,
S258 , 25.5091 , -0.7279 ,
S259 , 24.878 , -0.7443 ,
S260 , 24.7989 , -0.7861 ,
S261 , 24.8885 , -0.7885 ,
S262 , 25.8671 , 0.1685 ,
S263 , 26.144 , 1.0003 ,
S264 , 27.0544 , 0.9972 ,
S265 , 27.0463 , -0.5553 ,
S266 , 25.9527 , -0.0526 ,
S267 , 25.2511 , -1.0001 ,
S268 , 26.4734 , 0.3781 ,
S269 , 27.127 , 0.8894 ,
S270 , 311.6906 , -1.1201 ,
S271 , 311.147 , -1.0028 ,
S272 , 311.3673 , -0.5466 ,
S273 , 310.6945 , -0.3344 ,
S274 , 310.5392 , -0.6835 ,
S275 , 310.6394 , -1.2292 ,
S276 , 310.5671 , -1.1883 ,
S277 , 309.9635 , -0.5165 ,
S278 , 309.9435 , -0.2036 ,
S279 , 310.0233 , -0.3634 ,
S280 , 310.089 , -0.6723 ,
S281 , 310.2205 , 0.0381 ,
S282 , 310.4149 , 0.3675 ,
S283 , 311.3914 , 0.9783 ,
S284 , 311.9012 , 0.6066 ,
S285 , 310.7072 , -1.137 ,
