Name (Abbreviation)	R.A.	decl.	rh	epsilon	theta	d	M_V	v_los	sigma_los	Referances	
Sculptor(Scl)	15.0183	-33.7186	11.17 +or- 0.05	0.33 +or- 0.01	92.0 +or- 1.0	83.9 +or- 1.5	-10.82 +or- 0.14	111.4 +or- 0.1	9.2 +or- 1.1	bg,e,p	
Segue 1(Seg 1)	151.7504	16.0756	3.62 +or- 0.42	0.33 +or- 0.1	77.0 +or- 15.0	23.0 +or- 2.0	-1.3 +or- 0.73	208.5 +or- 0.9	3.7 +or- 1.25	bh,e,bi	
Segue 2(Seg 2)	34.8226	20.1624	3.76 +or- 0.28	0.22 +or- 0.07	164.0 +or- 14.0	36.6 +or- 2.45	-1.86 +or- 0.88	-40.2 +or- 0.9		bj,bk,e	
Sextans(Sxt)	153.2628	-1.6133	16.50 +or- 0.10	0.3 +or- 0.01	57.0 +or- 1.0	92.5 +or- 2.5	-8.72 +or- 0.06	224.3 +or- 0.1	7.9 +or- 1.3	e,bl,p	
Triangulum II(Tri II)	33.3252	36.1702	2.50 +or- 0.30	0.3 +or- 0.1	73.0 +or- 17.0	28.4 +or- 1.6	-1.6 +or- 0.4	-381.7 +or- 1.1		v,bm	
Tucana II(Tuc II)	342.9796	-58.5689	12.89 +or- 1.85	0.39 +or- 0.15	107.0 +or- 18.0	58.0 +or- 3.0	-3.8 +or- 0.1	-129.1 +or- 3.5	8.6 +or- 3.55	am,aj	
Tucana III(Tuc III)	359.1075	-59.5833	5.10 +or- 1.20	0.2 +or- 0.1	25.0 +or- 38.0	22.9 +or- 0.9	-1.3 +or- 0.2	-102.3 +or- 0.4		bb,bn	
Tucana IV(Tuc IV)	0.7170	-60.8300	9.30 +or- 1.15	0.39 +or- 0.085	27.0 +or- 8.5	47.0 +or- 4.0	-3.0 +or- 0.35	15.9 +or- 1.75	4.3 +or- 1.35	ak	
Tucana V(Tuc V)	354.3470	-63.2660	2.10 +or- 0.50	0.51 +or- 0.135	29.0 +or- 11.0	55.0 +or- 5.5	-1.1 +or- 0.55	-36.2 +or- 2.35		ak	
Ursa Major I(UMa I)	158.7706	51.9479	8.31 +or- 0.35	0.59 +or- 0.03	67.0 +or- 2.0	97.3 +or- 5.85	-5.13 +or- 0.38	-55.3 +or- 1.4	7.0 +or- 1.0	bo,e,m	
Ursa Major II(UMa II)	132.8726	63.1335	13.80 +or- 0.50	0.56 +or- 0.03	-76.0 +or- 2.0	34.7 +or- 2.1	-4.25 +or- 0.26	-116.5 +or- 1.9	6.7 +or- 1.4	bp,e,m	
Ursa Minor(UMi)	227.2420	67.2221	18.30 +or- 0.11	0.55 +or- 0.01	50.0 +or- 1.0	76.2 +or- 4.2	-9.03 +or- 0.05	-247.0 +or- 0.4	8.6 +or- 0.3	bq,e,br	
Virgo I(Vir I)	180.0380	-0.6810	1.76 +or- 0.45	0.59 +or- 0.13	62.0 +or- 10.5	91.0 +or- 6.5	-0.33 +or- 0.81			u	
Willman 1(Wil 1)	162.3436	51.0501	2.51 +or- 0.22	0.47 +or- 0.06	73.0 +or- 4.0	38.0 +or- 7.0	-2.53 +or- 0.74	-12.8 +or- 1.0	4.5 +or- 0.9	e,bs,bt	
Note. Citations: (a) Torrealba et al. (2019); (b) Torrealba et al. (2016b); (c) Dall'Ora et al. (2006); (d) Koposov et al. (2011); (e) Munoz et al. (2018); (f) Koch et al. (2009); (g) Walsh et al. (2008); (h) Carlin et al. (2009); (i) Carlin & Sand (2018); (j) Moskowitz & Walker (2020); (k) Homma et al. (2019); (l) Kuehn et al. (2008); (m) Simon & Geha (2007); (n) Greco et al. (2008); (o) Karczmarek et al. (2015); (p) Walker et al. (2009); (q) Li et al. (2018a); (r) Torrealba et al. (2018); (s) Mau et al. (2020); (t) Drlica-Wagner et al. (2015); (u) Homma et al. (2018); (v) Carlin et al. (2017); (w) Fritz et al. (2019); (x) Musella et al. (2009); (y) Caldwell et al. (2017); (z) Torrealba et al. (2016a); (aa) Bonanos et al. (2004); (ab) Walker et al. (2015b); (ac) Longeard et al. (2018); (ad) Crnojevic et al. (2016); (ae) Li et al. (2017); (af) Pietrzynski et al. (2009); (ag) Wang et al. (2019); (ah) Cantu et al. (2021); (ai) Martinez-Vazquez et al. (2019); (aj) Walker et al. (2016); (ak) Simon et al. (2020); (al) Mutlu-Pakdil et al. (2020); (am) Koposov et al. (2015a); (an) Koposov et al. (2015b); (ao) Kim & Jerjen (2015); (ap) Kirby et al. (2015); (aq) Martin et al. (2015); (ar) Vivas et al. (2016); (as) Koposov et al. (2018); (at) Mateo et al. (2008); (au) Stetson et al. (2014); (av) Bellazzini et al. (2005); (aw) Spencer et al. (2017); (ax) Medina et al. (2018); (ay) Jenkins et al. (2021); (az) Kim et al. (2016); (ba) Richstein et al. (2022); (bb) Mutlu-Pakdil et al. (2018); (bc) Drlica-Wagner et al. (2016); (bd) Sand et al. (2012); (be) Walker et al. (2015a); (bf) Longeard et al. (2021a); (bg) Martinez-Vazquez et al. (2015); (bh) Belokurov et al. (2007); (bi) Simon et al. (2011); (bj) Boettcher et al. (2013); (bk) Kirby et al. (2013); (bl) Okamoto et al. (2017); (bm) Kirby et al. (2017); (bn) Simon et al. (2017); (bo) Garofalo et al. (2013); (bp) Dall'Ora et al. (2012); (bq) Bellazzini et al. (2002); (br) Spencer et al. (2018); (bs) Willman et al. (2006); (bt) Willman et al. (2011).
