,x,y,z,vx,vy,vz,l,b,d,vlos,mul,mub,d_err,vlos_err,mul_err,mub_err,pm_corr,TEFF,LOGG,FEH,RA,DEC,ID,sgr,r,Lx,Ly,Lz,Sgrball,sigmavlos
2311,16.995844769544973,40.46385087302491,-36.2030844410677,30.549693197179554,-102.43621584073671,-28.261008990708742,58.075603031077186,-37.178947873522425,59.83642552300966,-206.12893065867596,-0.7019147532029655,-0.7104405759570522,5.983642552300966,10.853348114520504,0.5036713670685713,0.4243315097412856,-0.10404458766154474,8016.755553917161,3.4772214187564376,-3.6043246102826973,326.68144488047767,1.4746866359603872,2693421339041876352,False,56.89327983120631,-4852.056225226883,-625.6734006294023,-2977.148252956102,False,-0.9729573880163918
2365,14.189377961301494,-21.322897643917745,52.45409115648392,-166.9863253439045,36.769963505804746,95.36877641227203,-43.87492122216088,59.62506012675303,60.841699380353795,82.70515709302977,-0.9547512402803071,0.10817119504445,6.08416993803538,6.544012245086464,0.44637131625054455,0.41725273040645194,-0.47707713632254556,7644.377655421585,3.6104695428746703,-1.6841434505625135,199.4933340656419,-2.5652518923230287,3636647735505662976,False,58.37324806719587,-3962.2736754186226,-10112.33954569603,-3038.889413434897,False,0.9727307171887226
2380,29.11452455633796,-24.625275305143163,70.140053090493,-915.050580243986,-313.6478105576,289.30631632633475,-33.60491330309196,57.63873161579454,83.12442851143156,-12.530414309649165,-2.4864078741186635,1.3736939212538173,8.312442851143157,28.65482074777348,1.347960647882031,0.9275317361607169,-0.5324955538321532,10087.305809864683,3.896343647469335,0.2701394884329211,205.18138430993815,-2.9702995370910363,3634347037489004416,False,79.8353729341379,14875.026397174126,-72604.71212978635,-31665.07933916003,False,0.33119037853625877
2382,31.114111166262852,-24.60935733524474,70.98352748558736,-445.248259652428,-7.37087009369442,197.97309059297854,-32.21616161243958,56.99298900698658,84.73959812319134,20.605799290060528,-1.1414543526344927,0.7848257483127087,8.473959812319135,16.650927794188913,0.8654200000632791,0.8730671266978466,-0.3028773808335718,7628.776014309198,3.6842696712034715,-1.160482322184674,206.1165682405866,-3.297967993298391,3634101885051084416,False,81.31647776691673,-4348.780169276936,-37765.04882558662,-11186.611596169725,False,0.5544075796441649
2384,17.75996400225832,-23.155185002661224,51.90327252978201,284.2665374016104,237.67005102084485,4.991552712485498,-41.963746324583155,56.31246225503801,62.43258948859825,113.12104268991371,0.5931882367622371,-0.586136231579273,6.243258948859825,10.700438823437352,0.5724732494843191,0.4119237842506102,-0.5273714651359935,8046.9404732837575,3.2414616674516536,-0.521923013118561,201.20950781697368,-5.576650765416772,3634996573982802560,False,59.54434157138529,-12451.433756810242,14665.713765364137,10803.255814145308,False,1.177622831120961
2388,20.211736308550833,-27.857346874734976,64.90886862482208,-217.88585270640047,172.24232325570165,200.21111847578257,-44.68263567027611,58.623073661963666,76.08739927667125,105.02415112831308,-0.5954911682810196,0.5440626022070436,7.608739927667125,17.468563801939716,0.9693208119928605,1.0650630722099044,-0.5087605833540243,8410.281017741978,3.588477954807513,-1.756521802376871,199.2843673592898,-3.6293047535672,3636418620475223552,False,73.46909068213728,-16757.40490739701,-18189.33852119963,-2588.405359123196,False,1.1230793188812116
2401,22.894403677833388,-21.51070716567998,63.77803236571421,156.07051564808864,-211.14246984485575,-223.02646567021583,-34.883963602688084,59.49407951592288,74.09258293942878,-6.0747949593330635,-0.8326426255366858,-1.2630954256332385,7.409258293942878,22.557557853194407,0.6747917388455871,0.5407013067391068,-0.5203200120898802,8595.706468210981,3.4807315192399417,-3.579612035738192,203.91349068921036,-1.4597264880481695,3637774009074291584,False,71.09501849618802,18263.70826877064,15059.928334231874,-1476.7937788601812,False,0.3746777033164269
2426,-30.358680843888187,21.6550899543455,-42.13509112117607,2.008837865048704,-36.206764111861254,-64.8398841029437,135.6199192699667,-53.74119748711982,52.35010254625082,-53.46716007191252,0.8417780730531655,-0.788706882091262,5.235010254625082,6.6174389419551805,0.45223658089439484,0.4088430431532764,0.5725272203234567,7991.91958230321,3.4090294013678237,-2.261921430509278,20.40462309914307,8.38540055684234,2578510141871994880,False,56.26684927469877,-2929.688827934784,-2053.0959139274632,1055.6880313906156,False,0.05542604644013729
2430,-37.07229671148555,23.24932495580724,-40.852821741292814,8.944469824847742,108.31194519852157,43.40221749932144,141.1315909185822,-47.86184067507,55.2205150913326,-82.09539076577948,0.41803806839573204,-0.14384941920369287,5.52205150913326,12.822796363854458,0.42938924533816203,0.3537155424347736,0.407211651826521,7932.4095613881545,3.5216882274934322,-2.103138490050611,25.29112503937889,13.244968574811862,2587646327584465536,False,59.86517634310443,5433.920848092225,1243.6130537463973,-4223.325455313052,False,-0.1374237946839077
2449,-10.243293448871345,39.80699863551321,-32.77945071307102,-288.0778274134484,111.15861641531323,-106.25971022275498,92.92994482657511,-39.45577868990203,51.62318845346093,-18.842435071254613,1.2551733670932628,-0.6709874931776871,5.1623188453460935,22.256489648455336,0.4634543419644031,0.35340131301453276,-0.01576766541273047,7340.081849363678,3.365409113166281,-0.6299054647153158,348.9406732319907,17.77790287479319,2818804976443581952,False,52.57389647056886,-586.1617517283084,8354.583551623999,10328.88335545617,False,0.2886703844065461
2484,-23.247120609754038,-32.88653024755205,34.884236914032,62.22840314423395,-106.0752916262465,-37.94824061820294,-114.82671796792971,43.86275212661185,50.256872010933854,183.55772560902906,0.808154376166831,-1.0059511276031923,5.025687201093386,6.25956302459767,0.3243427206214267,0.3118210157538036,0.0633540961561641,8090.3598996136225,3.5648402378864184,-1.4127105709885688,155.26699375703734,-1.510675100361634,3830473145648336896,False,53.28097665623182,4948.341566746933,1288.6030314860202,4512.421360409899,False,1.6521091259783713
2493,-29.460623646157842,-42.71116519124366,42.94143628903895,-46.56599941798714,217.4342788588912,293.12120752818186,-116.66460250159935,41.88855465413894,64.20095518933759,229.26358457916547,-0.1352242254049948,0.5831072546835206,6.42009551893376,7.065836817587852,0.8306989778457523,0.49074373223775275,-0.006462392514913155,7608.544676773259,2.9096906045780817,-2.3299348107858115,152.8901932678418,-1.7680210519203252,3829136075084271872,False,67.35086434619714,-21856.488548465197,6635.922680452175,-8394.637550672533,False,1.95999988370924
