,x,y,z,vx,vy,vz,l,b,d,vlos,mul,mub,d_err,vlos_err,mul_err,mub_err,pm_corr,TEFF,LOGG,FEH,RA,DEC,ID
36,12.5740073806839,-13.378685770843433,51.208543720757945,-63.63505578004296,33.63227775674244,-22.324529718075066,326.9538022203573,64.41516554636168,56.81107250571086,-5.088822138312038,-0.814565084182064,-0.22106523614968332,5.6811072505710865,7.617517296222966,0.38549356956627373,0.3077472328910534,-0.5321304663695435,7600.8410218309,3.041857989958376,-1.5660255269386143,203.00322408937544,3.452554399247454,3712869248797480192
37,0.6047761584025064,-4.790371213436126,20.16266351757648,-14.603883228946458,-0.8315244979897323,15.23858580405183,331.0930011293646,63.82768508463844,22.46772083650208,48.545591534806945,-2.150379517374646,-0.7701502441356968,2.246772083650208,3.156483742644675,0.12149532335007088,0.09898231198361904,-0.36521555265560546,10223.67582065311,3.7786469943913956,-0.9063637275504138,204.8987046028407,3.6207372551850954,3713556168686848000
38,-26.516998083941665,3.8101823656432217,8.419863977165257,-43.956404766861986,15.148686277500715,68.68550214594495,168.31099947892687,23.945981480297835,20.577626192570396,33.01462676479383,2.4318651905585877,0.5312335335438971,2.0577626192570397,1.6552508072864984,0.061875550265629166,0.09771076841744965,-0.2571339794765302,8520.978631683653,3.4367226386945973,-2.2901470329218023,108.87096920730505,49.148290338854295,979647341178408704
39,3.3123133570203347,17.017203747488445,7.965133877758221,-93.29636510858708,35.417738733358206,34.92942422149458,56.14920128594554,21.262643722094875,21.987282165194216,-208.08892734945053,-0.27656045015925645,1.0535859863144728,2.1987282165194215,2.4443522473169343,0.07243345903772411,0.06056635463497868,-0.053997654314805445,9839.781251398454,3.7351950567883137,-1.9241404254964727,272.58649352771937,29.49363254057144,4589690155174491264
40,0.380702505762466,12.5551112305706,5.870104031822952,33.544121226566105,-64.10078796904112,26.563962008569458,55.94005306035732,21.176408006326163,16.252405134349548,-221.68561731039728,-2.4727931585261316,1.3769074453704824,1.6252405134349548,1.397999721680905,0.055966535582071174,0.04595988136540959,0.02397278491432558,8301.938794393154,3.3067154103125884,-2.048190876655845,272.6027829672243,29.280917508617776,4589674349695097728
41,-0.6002340350451432,9.206149223311364,6.227923420918938,-7.022157677756311,-140.36265296879387,-132.25447610244788,50.80951360207593,27.662801323304677,13.411119537498346,-340.93278479755236,-3.597759544671177,0.32321170496905305,1.3411119537498346,0.8501468877849242,0.044667630665891155,0.03682370767859648,0.050423302426001036,7484.301775038537,3.3240345338173998,-1.6498476500231976,263.92216067907884,26.980118238895194,4594951210934844928
42,1.919240592118955,12.392034938511017,8.325522073558256,-6.941348609681562,-32.14347894628505,-45.580220340697686,51.04183965811138,27.59758794804477,17.982127693671362,-227.12439767661877,-1.8688729066441574,0.6857760386939659,1.7982127693671364,3.184276347950885,0.06542889924251734,0.060558443016081376,0.04395775110163406,11946.12362756438,4.191759084688188,-3.99998161328435,264.06354570646215,27.15552869706527,4594980214851541632
43,3.195103810277457,14.087547988498251,9.719339542234229,-62.99350079232416,-37.912218212945426,30.42366804182485,51.28531016329763,28.314707158624955,20.508459556902622,-225.9201410185896,-1.2143459591593164,1.514312283159306,2.0508459556902623,2.2307880983775186,0.0850371205214972,0.07610399024808594,0.08915667616733873,11160.819091830304,4.015134830571046,-3.99999384702835,263.36915287727794,27.580062360242973,4595066900175254016
44,-0.6685780872082461,9.474320129171542,7.3493519212055745,21.57377909143217,-46.505453370900426,-2.06674254302336,51.878375629029925,31.387685219691818,14.107569470166336,-196.7038930718694,-2.798739863549105,1.6224288522059331,1.4107569470166337,2.0764675751018364,0.05955576511850307,0.044877162375995254,0.09553330145361612,9857.75494039953,3.7397088517695396,-0.8847463959883106,260.1960113386406,28.95792092741348,4599315520479931392
45,0.7176159533864617,12.573212077132576,7.99313080701787,3.4553318946064104,90.76133016388356,13.062281506183767,54.95332513561714,27.500359968443394,17.31421554014654,-114.83017065995402,-0.9889670307574334,0.8005342286991075,1.7314215540146543,1.6291622592772936,0.059365129949302556,0.04259010160113897,-0.033618271465428354,7788.219499036586,3.369214039790357,-1.1863216414296893,265.35738223574646,30.434313123843484,4597543343957058560
46,0.09911012483615345,9.339535507203875,6.200212560805229,9.61453905058366,-164.8243881611425,-157.64494355356865,48.69918344814257,26.507698099326195,13.892381971867497,-351.44528699090665,-4.080626440277764,-0.14551788598334126,1.3892381971867498,1.0424615083095248,0.04633107508020533,0.045124382520802635,0.27473900695358733,8055.076691408627,3.4068269628110937,-1.5918793715043655,264.4682011333742,24.830003541513427,4593675678665509248
47,8.874326436556997,23.871336390716543,14.478805914319443,27.704514909863246,72.99178202812004,70.23596749333183,54.60842549355377,26.345861068878097,32.67642641232055,-90.76200917265011,-0.7224361111874792,0.7403746136158071,3.2676426412320554,3.2567325489849934,0.14106880981995862,0.11821886411842708,0.0022784970612803857,10299.69333494893,3.8719196141448142,-1.0541478154485837,266.5265554073582,29.798200253010577,4597219743942001792
48,-0.5568860288455184,10.513079450563094,7.7800071009829965,0.4739443722638781,-168.34681922690987,-110.63692618575456,54.33319831107504,31.01016358678274,15.09836682527029,-355.31534711954606,-3.2346067453248315,1.0531986890901504,1.509836682527029,1.280222838495815,0.043617055071091114,0.04200261905801306,-0.02710283572798246,7726.684219994146,3.352282705047794,-2.0177868007281416,261.2616894656688,30.881060228858082,4599964575937918336
49,-1.854906267640664,8.710276116784227,6.23477482650462,12.19673253306829,-131.04854618569308,131.72265871656106,54.334043390022295,30.160259026593664,12.399940451144348,-202.81901428319554,-3.721903174824983,4.443605396044703,1.239994045114435,0.8245616569081097,0.04437155329061836,0.035614216896173126,-0.17612100233467137,8383.154277216596,3.3099991248930607,-2.835216707313765,262.2158195381265,30.656932579409677,4599910802947064960
50,1.949588658376248,11.68035030800797,7.925917732417419,7.52805183514317,-53.87232486365858,-18.441178999999256,49.28708310131058,27.233327100435673,17.330834696992625,-216.91552333748677,-2.3286810347305074,0.9997278661214357,1.7330834696992625,0.8678181155593226,0.052931950893675576,0.04606646223118618,0.14042821515294027,7489.796497118277,3.380147256963973,-1.3245716755618684,263.8994566894554,25.562610283880854,4593962960438288896
