name, ra,  dec,
S123 , 333.7662 , 0.6042 , 43.24 ,
S124 , 355.4351 , -0.4189 , 22.08 ,
S125 , 355.8531 , 0.6859 , 29.54 ,
S126 , 2.0017 , 1.2084 , 18.76 ,
S127 , 3.925 , 1.1825 , 41.24 ,
S128 , 6.91 , -1.192 , 20.88 ,
S129 , 11.1122 , -0.4673 , 8.65 ,
S130 , 10.5209 , 0.4375 , 20.95 ,
S131 , 15.2566 , -0.3058 , 59.44 ,
S132 , 16.5274 , -0.2662 , 26.27 ,
S133 , 18.5372 , 0.9383 , 28.48 ,
S134 , 20.811 , -0.6697 , 9.37 ,
S135 , 21.7095 , 0.4465 , 17.04 ,
S136 , 23.2253 , -0.5335 , 23.45 ,
S137 , 29.3096 , -0.5096 , 29.6 ,
S138 , 29.8155 , 0.886 , 23.03 ,
S139 , 29.7219 , 0.6299 , 26.31 ,
S140 , 33.2015 , -1.1822 , 28.95 ,
S141 , 32.6483 , -0.3882 , 35.4 ,
S142 , 35.7374 , 1.0207 , 28.86 ,
S143 , 37.3184 , 0.355 , 120.29 ,
S144 , 41.1439 , 0.2101 , 25.91 ,
S145 , 41.716 , 0.0741 , 34.32 ,
S146 , 43.907 , 0.0169 , 21.08 ,
S147 , 46.825 , 0.6844 , 56.71 ,
S148 , 321.9511 , 0.5344 , 22.56 ,
S149 , 43.0062 , -0.1135 , 13.52 ,
S150 , 235.6156 , 32.7357 , 20.09 ,
S151 , 42.9238 , -0.6344 , 16.14 ,
S152 , 43.0626 , -0.5598 , 12.57 ,
S153 , 42.0589 , -0.6845 , 29.36 ,
S154 , 42.4789 , -0.2876 , 24.04 ,
S155 , 42.4922 , -0.0014 , 32.33 ,
S156 , 42.0693 , -0.5815 , 65.91 ,
S157 , 42.2115 , -0.4746 , 35.46 ,
S158 , 42.2706 , -0.0706 , 30.56 ,
S159 , 41.9697 , -0.6265 , 24.14 ,
S160 , 41.4014 , -0.11 , 21.13 ,
S161 , 41.2086 , -0.697 , 16.82 ,
S162 , 40.5804 , -0.4129 , 29.07 ,
S163 , 41.2588 , 0.656 , 21.31 ,
S164 , 41.3268 , 0.0922 , 26.58 ,
S165 , 42.6605 , 0.2127 , 38.98 ,
S166 , 42.6194 , 0.3136 , 31.69 ,
S167 , 43.056 , 0.0941 , 68.48 ,
S168 , 43.0116 , 1.0275 , 28.8 ,
S169 , 43.2789 , 0.7083 , 28.1 ,
S170 , 216.1735 , 46.9599 , 27.51 ,
S171 , 197.286 , 11.8386 , 48.87 ,
S172 , 221.0594 , 13.1864 , 10.32 ,
S173 , 115.993 , 45.9854 , 25.55 ,
S174 , 169.4333 , 14.528 , 22.73 ,
S175 , 193.1741 , 15.2654 , 39.24 ,
S176 , 206.218 , 7.4058 , 29.16 ,
S177 , 245.1505 , 22.315 , 20.4 ,
S178 , 288.1851 , 78.0712 , 12.26 ,
S179 , 290.1013 , 79.1427 , 24.24 ,
S180 , 359.5853 , 36.4018 , 20.73 ,
S181 , 358.5352 , 36.2383 , 18.85 ,
S182 , 358.2261 , 36.1001 , 52.44 ,
S183 , 357.386 , 35.7609 , 17.78 ,
S184 , 357.7179 , 37.0025 , 21.9 ,
S185 , 358.0471 , 37.0529 , 16.7 ,
S186 , 358.8868 , 37.2493 , 16.43 ,
S187 , 358.9127 , 37.4873 , 17.72 ,
S188 , 356.4753 , 38.8899 , 11.17 ,
S189 , 355.8445 , 39.7005 , 14.67 ,
S190 , 357.2185 , 40.6597 , 22.31 ,
S191 , 356.5212 , 39.5188 , 9.64 ,
S192 , 355.347 , 42.5086 , 13.19 ,
S193 , 354.9874 , 42.2242 , 16.89 ,
S194 , 354.3564 , 43.1206 , 11.34 ,
S195 , 355.2289 , 44.0844 , 45.69 ,
S196 , 356.393 , 45.4567 , 13.09 ,
