name, ra,  dec,
S1560 , 232.4234 , 18.6063 , 20.66 ,
S1561 , 254.3642 , 12.1192 , 8.56 ,
S1562 , 253.6942 , 11.2771 , 7.77 ,
S1563 , 253.5885 , 11.3807 , 16.25 ,
S1564 , 253.6168 , 12.2016 , 11.0 ,
S1565 , 253.8304 , 11.8048 , 6.08 ,
S1566 , 253.7955 , 12.0251 , 14.33 ,
S1567 , 253.675 , 12.1141 , 15.63 ,
S1568 , 253.4891 , 11.6367 , 7.76 ,
S1569 , 253.2884 , 11.7917 , 12.26 ,
S1570 , 253.1037 , 12.0216 , 9.69 ,
S1571 , 252.8468 , 11.2578 , 11.95 ,
S1572 , 252.6568 , 11.7525 , 5.95 ,
S1573 , 252.1419 , 11.6384 , 20.61 ,
S1574 , 251.8066 , 11.8125 , 22.8 ,
S1575 , 251.9666 , 13.3501 , 8.48 ,
S1576 , 252.2851 , 12.763 , 11.11 ,
S1577 , 252.8416 , 13.7903 , 11.98 ,
S1578 , 252.7675 , 12.6184 , 9.01 ,
S1579 , 252.6807 , 12.5764 , 10.78 ,
S1580 , 252.7734 , 12.6893 , 13.69 ,
S1581 , 253.2089 , 13.4882 , 18.77 ,
S1582 , 252.7771 , 12.5994 , 10.56 ,
S1583 , 254.3845 , 12.9653 , 11.34 ,
S1584 , 263.4783 , 7.7561 , 9.77 ,
S1585 , 263.4606 , 7.4406 , 8.36 ,
S1586 , 263.6962 , 7.781 , 13.06 ,
S1587 , 263.5535 , 7.8236 , 9.03 ,
S1588 , 262.8256 , 7.289 , 14.64 ,
S1589 , 263.1205 , 7.5043 , 13.57 ,
S1590 , 263.2039 , 7.4286 , 8.35 ,
S1591 , 263.2437 , 7.9879 , 5.3 ,
S1592 , 262.6512 , 6.8016 , 12.84 ,
S1593 , 262.9543 , 7.7696 , 12.26 ,
S1594 , 262.4111 , 7.4626 , 7.45 ,
S1595 , 262.5961 , 7.4603 , 16.27 ,
S1596 , 262.3457 , 7.8503 , 15.73 ,
S1597 , 262.2177 , 7.6863 , 5.7 ,
S1598 , 262.4698 , 6.784 , 8.53 ,
S1599 , 262.322 , 7.0527 , 10.78 ,
S1600 , 261.9561 , 8.0511 , 7.1 ,
S1601 , 261.356 , 7.3273 , 9.71 ,
S1602 , 261.2615 , 7.7794 , 9.66 ,
S1603 , 261.267 , 7.4959 , 6.27 ,
S1604 , 261.2067 , 7.8929 , 6.91 ,
S1605 , 261.82 , 9.1691 , 15.82 ,
S1606 , 261.3192 , 8.3049 , 7.39 ,
S1607 , 262.077 , 9.2542 , 6.73 ,
S1608 , 262.0558 , 8.8921 , 20.46 ,
S1609 , 262.6754 , 9.2992 , 8.49 ,
S1610 , 263.1028 , 8.4171 , 18.8 ,
S1611 , 263.2469 , 8.1739 , 19.28 ,
S1612 , 263.2955 , 9.0421 , 10.9 ,
S1613 , 263.6783 , 8.5898 , 17.41 ,
S1614 , 263.7505 , 8.5443 , 13.42 ,
S1615 , 263.6518 , 8.3035 , 21.22 ,
S1616 , 280.5837 , 40.4292 , 14.77 ,
S1617 , 281.0971 , 40.9846 , 9.58 ,
S1618 , 280.3854 , 40.4211 , 5.54 ,
S1619 , 280.0299 , 40.2149 , 12.02 ,
S1620 , 280.2236 , 40.8455 , 9.65 ,
S1621 , 279.633 , 40.1367 , 15.3 ,
S1622 , 279.7831 , 39.9815 , 8.37 ,
S1623 , 279.8796 , 41.0576 , 40.33 ,
S1624 , 279.176 , 40.1268 , 8.24 ,
S1625 , 278.2596 , 40.869 , 16.15 ,
S1626 , 278.0253 , 40.5809 , 11.52 ,
S1627 , 278.5859 , 42.0448 , 11.95 ,
S1628 , 277.9906 , 41.5339 , 8.39 ,
S1629 , 277.9092 , 41.6939 , 25.6 ,
S1630 , 279.3317 , 42.3473 , 17.45 ,
S1631 , 279.3643 , 41.8001 , 18.04 ,
S1632 , 279.508 , 42.0271 , 36.77 ,
S1633 , 279.3882 , 42.2963 , 6.61 ,
S1634 , 280.0361 , 42.1606 , 18.9 ,
S1635 , 263.8793 , 43.1774 , 13.26 ,
S1636 , 263.4536 , 43.6714 , 12.71 ,
S1637 , 261.9242 , 43.3415 , 10.66 ,
S1638 , 261.8506 , 43.5802 , 14.51 ,
S1639 , 261.8715 , 43.6811 , 14.24 ,
S1640 , 262.0832 , 44.2803 , 26.08 ,
S1641 , 263.1592 , 44.2765 , 17.82 ,
S1642 , 263.6785 , 44.1335 , 16.09 ,
S1643 , 263.8841 , 44.7767 , 11.72 ,
S1644 , 264.7078 , 44.4489 , 22.57 ,
S1645 , 1.9164 , 23.8446 , 18.24 ,
S1646 , 1.9917 , 23.7873 , 13.92 ,
S1647 , 1.3372 , 23.9715 , 13.28 ,
S1648 , 1.033 , 24.1495 , 9.7 ,
S1649 , 1.034 , 24.025 , 10.25 ,
S1650 , 0.9556 , 23.7821 , 9.35 ,
S1651 , 0.9855 , 23.9583 , 21.37 ,
S1652 , 0.7318 , 23.8583 , 16.13 ,
S1653 , 0.3696 , 25.7248 , 14.57 ,
S1654 , 0.7872 , 25.6529 , 11.54 ,
S1655 , 0.7753 , 25.6974 , 15.18 ,
S1656 , 0.8454 , 25.6722 , 19.96 ,
S1657 , 0.997 , 26.0576 , 6.2 ,
S1658 , 1.0092 , 25.2747 , 24.55 ,
S1659 , 1.7623 , 25.0839 , 12.49 ,
S1660 , 1.7817 , 25.9121 , 11.74 ,
S1661 , 281.2954 , 77.256 , 25.86 ,
S1662 , 280.7305 , 77.365 , 28.1 ,
S1663 , 278.9134 , 77.4902 , 27.04 ,
S1664 , 277.7698 , 77.851 , 22.25 ,
S1665 , 273.7678 , 77.8063 , 20.62 ,
S1666 , 276.8147 , 78.9731 , 8.72 ,
S1667 , 276.2056 , 79.1248 , 17.83 ,
S1668 , 278.4391 , 78.9447 , 21.91 ,
S1669 , 280.0737 , 79.0413 , 13.55 ,
S1670 , 280.437 , 79.0104 , 7.42 ,
S1671 , 281.0033 , 79.2007 , 12.39 ,
S1672 , 282.9753 , 79.3717 , 13.02 ,
S1673 , 1.6355 , 27.657 , 6.47 ,
S1674 , 0.8853 , 27.1072 , 7.97 ,
S1675 , 1.1515 , 27.9987 , 17.52 ,
S1676 , 0.8469 , 28.1334 , 15.99 ,
S1677 , 0.3309 , 27.5647 , 22.62 ,
S1678 , 0.12 , 28.0758 , 10.01 ,
S1679 , 359.7916 , 29.2356 , 9.39 ,
S1680 , 359.7748 , 28.9624 , 8.61 ,
S1681 , 359.4562 , 28.429 , 16.13 ,
S1682 , 0.1933 , 29.5194 , 6.56 ,
S1683 , 0.6627 , 29.5691 , 17.11 ,
S1684 , 0.6708 , 29.3223 , 9.48 ,
S1685 , 18.4406 , 14.2981 , 15.5 ,
S1686 , 18.0941 , 14.6709 , 15.72 ,
S1687 , 18.135 , 15.5508 , 25.8 ,
S1688 , 17.8161 , 14.2283 , 21.83 ,
S1689 , 17.6186 , 14.4107 , 15.88 ,
S1690 , 17.1758 , 14.8268 , 13.21 ,
S1691 , 17.9301 , 16.0508 , 17.83 ,
S1692 , 123.1249 , -8.3096 , 6.33 ,
S1693 , 124.0134 , -7.7387 , 13.87 ,
S1694 , 123.0748 , -7.7635 , 15.02 ,
S1695 , 122.7453 , -7.9377 , 11.67 ,
S1696 , 122.3838 , -7.9405 , 6.08 ,
S1697 , 122.0946 , -8.0828 , 7.68 ,
S1698 , 121.9031 , -6.9278 , 27.66 ,
S1699 , 122.3664 , -6.6466 , 14.2 ,
S1700 , 122.2228 , -7.3995 , 28.27 ,
S1701 , 121.941 , -6.9273 , 16.45 ,
S1702 , 122.9131 , -7.5583 , 7.59 ,
S1703 , 123.3334 , -6.8485 , 10.43 ,
S1704 , 123.8119 , -7.3845 , 12.64 ,
S1705 , 123.7655 , -7.4238 , 27.05 ,
S1706 , 123.8985 , -6.8815 , 24.04 ,
S1707 , 128.0373 , -4.9994 , 11.84 ,
S1708 , 127.1822 , -4.8511 , 13.04 ,
S1709 , 126.9293 , -4.8651 , 21.59 ,
S1710 , 126.9831 , -5.2078 , 15.3 ,
S1711 , 127.0594 , -3.4803 , 8.43 ,
S1712 , 126.7831 , -3.8186 , 8.05 ,
S1713 , 127.5282 , -3.4556 , 10.57 ,
S1714 , 127.2552 , -4.0405 , 12.75 ,
S1715 , 128.3905 , -3.242 , 5.83 ,
S1716 , 128.9442 , -3.6469 , 16.08 ,
S1717 , 129.079 , -4.4479 , 7.23 ,
S1718 , 256.4429 , 27.3639 , 13.22 ,
S1719 , 256.6777 , 27.8756 , 25.68 ,
S1720 , 256.6159 , 27.949 , 13.41 ,
S1721 , 256.9665 , 28.1166 , 28.76 ,
S1722 , 255.5575 , 27.7778 , 31.49 ,
S1723 , 255.6178 , 27.484 , 11.25 ,
S1724 , 255.2577 , 28.1712 , 14.31 ,
S1725 , 254.4933 , 29.2446 , 8.39 ,
S1726 , 254.2744 , 28.8506 , 21.3 ,
S1727 , 255.9491 , 29.4679 , 10.04 ,
S1728 , 256.034 , 29.0754 , 7.68 ,
S1729 , 255.1901 , 28.8548 , 18.34 ,
S1730 , 255.2322 , 28.6393 , 24.56 ,
S1731 , 255.9997 , 28.8767 , 8.79 ,
S1732 , 256.2458 , 28.5223 , 13.32 ,
S1733 , 256.7278 , 29.4144 , 16.05 ,
S1734 , 257.1904 , 28.9756 , 21.53 ,
S1735 , 257.2719 , 28.8775 , 17.81 ,
S1736 , 257.0382 , 28.8101 , 13.08 ,
S1737 , 313.7161 , 2.2655 , 13.17 ,
S1738 , 313.735 , 2.4989 , 8.39 ,
S1739 , 312.9276 , 1.4618 , 8.75 ,
S1740 , 312.1342 , 2.2192 , 14.03 ,
S1741 , 312.6714 , 1.4837 , 10.3 ,
S1742 , 312.6896 , 1.8224 , 24.1 ,
S1743 , 312.2187 , 1.4592 , 12.87 ,
S1744 , 311.3458 , 2.1053 , 13.01 ,
S1745 , 311.7932 , 3.1416 , 27.07 ,
S1746 , 311.8672 , 3.2296 , 24.12 ,
S1747 , 312.5582 , 3.1557 , 21.26 ,
S1748 , 311.9791 , 2.9993 , 15.44 ,
S1749 , 312.9409 , 2.8582 , 21.17 ,
S1750 , 312.741 , 2.7825 , 16.88 ,
S1751 , 313.2334 , 3.1393 , 22.18 ,
S1752 , 313.1496 , 2.9223 , 8.25 ,
S1753 , 313.6513 , 3.1914 , 7.09 ,
S1754 , 313.6198 , 2.6598 , 12.2 ,
S1755 , 25.9389 , -10.0647 , 28.03 ,
S1756 , 25.2322 , -10.0182 , 17.23 ,
S1757 , 24.7818 , -8.2338 , 24.05 ,
S1758 , 25.5387 , -8.1243 , 31.1 ,
S1759 , 254.2553 , 12.0637 , 28.98 ,
S1760 , 253.4883 , 11.184 , 19.79 ,
S1761 , 253.61 , 12.3191 , 36.44 ,
S1762 , 253.3235 , 11.2271 , 24.66 ,
S1763 , 253.3116 , 11.458 , 22.87 ,
S1764 , 254.1468 , 12.5792 , 27.86 ,
S1765 , 254.1307 , 13.3667 , 23.93 ,
S1766 , 262.1728 , 7.3386 , 23.1 ,
S1767 , 279.4904 , 40.4533 , 22.12 ,
S1768 , 279.5161 , 41.1381 , 21.75 ,
S1769 , 278.8891 , 40.6077 , 44.39 ,
S1770 , 278.1184 , 42.1314 , 33.04 ,
S1771 , 280.0433 , 42.0737 , 59.03 ,
S1772 , 265.23 , 43.7252 , 30.09 ,
S1773 , 264.497 , 43.0868 , 24.35 ,
S1774 , 262.4333 , 44.9811 , 18.54 ,
S1775 , 261.7439 , 44.7784 , 29.58 ,
S1776 , 263.2069 , 44.5716 , 40.65 ,
S1777 , 264.4907 , 45.2395 , 32.2 ,
S1778 , 264.7466 , 44.1419 , 29.65 ,
S1779 , 2.433 , 24.4495 , 37.68 ,
S1780 , 0.9638 , 24.3091 , 25.81 ,
S1781 , 0.1721 , 25.0476 , 25.87 ,
S1782 , 2.4181 , 25.8641 , 23.32 ,
S1783 , 1.8976 , 28.0951 , 58.05 ,
S1784 , 0.2962 , 27.9989 , 28.38 ,
S1785 , 0.6491 , 29.1369 , 34.59 ,
S1786 , 1.2499 , 28.3819 , 23.76 ,
S1787 , 16.821 , 15.6083 , 37.6 ,
S1788 , 16.8237 , 16.1744 , 34.34 ,
S1789 , 123.4598 , -7.8538 , 26.66 ,
S1790 , 123.1291 , -8.0949 , 42.17 ,
S1791 , 124.1232 , -7.3384 , 34.28 ,
S1792 , 128.1034 , -5.413 , 26.28 ,
S1793 , 127.6417 , -5.0098 , 23.05 ,
S1794 , 127.002 , -5.0717 , 33.62 ,
S1795 , 128.2718 , -3.9193 , 37.43 ,
S1796 , 129.1633 , -4.3986 , 58.6 ,
S1797 , 255.0808 , 27.4454 , 68.99 ,
S1798 , 256.3775 , 29.1474 , 58.5 ,
S1799 , 257.0297 , 29.309 , 30.7 ,
S1800 , 8.8067 , -18.9728 , 22.37 ,
S1801 , 8.2715 , -18.9852 , 16.5 ,
S1802 , 8.2972 , -18.4726 , 11.28 ,
S1803 , 7.7472 , -18.7338 , 18.28 ,
S1804 , 7.5121 , -19.151 , 19.03 ,
S1805 , 7.3954 , -18.3708 , 32.43 ,
S1806 , 7.2339 , -18.5013 , 11.66 ,
S1807 , 6.9909 , -18.7085 , 28.38 ,
S1808 , 6.7017 , -18.4261 , 13.47 ,
S1809 , 7.7555 , -18.162 , 17.18 ,
S1810 , 7.9597 , -17.1489 , 21.99 ,
S1811 , 8.982 , -18.0241 , 24.11 ,
S1812 , 19.8247 , -9.9742 , 21.7 ,
S1813 , 19.2614 , -9.9471 , 14.86 ,
S1814 , 18.1675 , -10.4885 , 18.11 ,
S1815 , 17.8145 , -9.7576 , 8.95 ,
S1816 , 17.9913 , -10.4103 , 16.09 ,
S1817 , 17.9953 , -10.6355 , 28.2 ,
S1818 , 17.4856 , -10.0449 , 8.96 ,
S1819 , 17.5586 , -9.0193 , 10.31 ,
S1820 , 17.8343 , -9.22 , 9.56 ,
S1821 , 19.2716 , -9.5212 , 14.79 ,
S1822 , 18.8681 , -8.8435 , 30.09 ,
S1823 , 18.849 , -8.7402 , 17.25 ,
S1824 , 20.1038 , -9.6985 , 26.52 ,
S1825 , 24.7465 , -8.2168 , 25.22 ,
S1826 , 25.3865 , -8.1393 , 10.86 ,
S1827 , 25.5147 , -8.9297 , 11.59 ,
S1828 , 26.0896 , -9.1213 , 12.15 ,
S1829 , 30.3991 , -0.9378 , 22.58 ,
S1830 , 30.2231 , -1.1695 , 20.8 ,
S1831 , 30.1528 , -0.3094 , 29.72 ,
S1832 , 30.1393 , -0.1774 , 20.82 ,
S1833 , 29.9608 , -0.6219 , 15.39 ,
S1834 , 29.7355 , -0.2412 , 21.61 ,
S1835 , 28.9094 , -0.1221 , 21.24 ,
S1836 , 29.3361 , -1.207 , 20.02 ,
S1837 , 30.7473 , 1.2355 , 8.62 ,
S1838 , 150.9518 , -0.526 , 6.57 ,
S1839 , 149.4024 , -1.1946 , 6.1 ,
S1840 , 149.3628 , -1.1467 , 12.04 ,
S1841 , 148.8506 , -0.6615 , 24.78 ,
S1842 , 148.7424 , -0.5593 , 6.01 ,
S1843 , 149.3731 , 0.8785 , 10.75 ,
S1844 , 149.0831 , 0.3253 , 10.59 ,
S1845 , 150.2761 , 0.4763 , 19.18 ,
S1846 , 150.0903 , 0.7899 , 11.19 ,
S1847 , 151.1127 , 0.1886 , 12.89 ,
S1848 , 150.8013 , 1.0046 , 11.5 ,
S1849 , 157.7012 , 17.2356 , 27.53 ,
S1850 , 157.3421 , 17.2236 , 12.45 ,
S1851 , 157.3742 , 17.5963 , 9.39 ,
S1852 , 155.733 , 16.9109 , 16.2 ,
S1853 , 155.4149 , 18.5944 , 11.87 ,
S1854 , 155.6336 , 17.9676 , 13.03 ,
S1855 , 155.725 , 17.9114 , 15.6 ,
S1856 , 155.7102 , 18.1163 , 17.19 ,
S1857 , 156.1276 , 18.0633 , 18.96 ,
S1858 , 157.2642 , 18.1618 , 18.8 ,
S1859 , 157.6583 , 18.3917 , 8.45 ,
S1860 , 157.5695 , 8.3983 , 11.65 ,
S1861 , 157.0066 , 8.626 , 6.34 ,
S1862 , 156.1052 , 7.5451 , 19.93 ,
S1863 , 155.7642 , 7.7476 , 12.63 ,
S1864 , 155.4308 , 7.9928 , 15.31 ,
S1865 , 156.3185 , 9.8939 , 20.56 ,
S1866 , 157.206 , 10.127 , 8.12 ,
S1867 , 157.6619 , 8.8388 , 5.76 ,
S1868 , 165.1493 , 27.7972 , 12.25 ,
S1869 , 164.1795 , 27.8873 , 6.6 ,
S1870 , 163.9838 , 28.3983 , 21.14 ,
S1871 , 164.6951 , 28.9262 , 25.12 ,
S1872 , 167.99 , 38.3506 , 5.77 ,
S1873 , 166.2935 , 37.8532 , 14.44 ,
S1874 , 165.7016 , 39.2529 , 10.53 ,
S1875 , 167.0079 , 39.3341 , 9.27 ,
S1876 , 167.7235 , 38.6321 , 15.36 ,
S1877 , 167.684 , 39.6018 , 6.57 ,
S1878 , 168.4153 , 38.5569 , 7.46 ,
S1879 , 168.648 , 39.0481 , 18.42 ,
S1880 , 170.1042 , 18.2895 , 21.82 ,
S1881 , 169.7744 , 18.3169 , 6.4 ,
S1882 , 169.4807 , 18.2358 , 14.46 ,
S1883 , 169.179 , 19.1497 , 17.25 ,
S1884 , 168.7327 , 18.8241 , 12.27 ,
S1885 , 168.475 , 18.3527 , 10.57 ,
S1886 , 168.1615 , 19.2729 , 9.4 ,
S1887 , 169.2154 , 20.4013 , 16.63 ,
S1888 , 169.7725 , 19.6377 , 11.42 ,
S1889 , 170.0308 , 20.3659 , 11.5 ,
S1890 , 174.8584 , 66.0241 , 8.37 ,
S1891 , 169.7318 , 67.6784 , 8.42 ,
S1892 , 170.2048 , 67.9208 , 12.19 ,
S1893 , 170.4406 , 67.8724 , 13.18 ,
S1894 , 169.6858 , 67.2475 , 11.09 ,
S1895 , 171.9696 , 67.507 , 11.98 ,
S1896 , 169.6764 , -13.1933 , 6.4 ,
S1897 , 169.6876 , -12.7772 , 13.49 ,
S1898 , 168.9588 , -12.1353 , 13.45 ,
S1899 , 168.5421 , -12.4116 , 7.47 ,
S1900 , 168.4921 , -12.6498 , 12.41 ,
S1901 , 168.8846 , -11.339 , 27.55 ,
S1902 , 169.3971 , -10.9321 , 13.78 ,
S1903 , 169.7745 , -11.4712 , 8.55 ,
S1904 , 169.7128 , -11.5197 , 7.2 ,
S1905 , 170.127 , -11.4291 , 9.02 ,
S1906 , 173.121 , -8.0497 , 10.14 ,
S1907 , 172.9566 , -7.7938 , 10.16 ,
S1908 , 172.2756 , -8.8599 , 22.98 ,
S1909 , 172.2773 , -8.0698 , 7.17 ,
S1910 , 172.3216 , -7.6951 , 16.44 ,
S1911 , 172.4218 , -7.9718 , 5.79 ,
S1912 , 171.5533 , -7.8749 , 10.31 ,
S1913 , 171.5119 , -7.6741 , 9.18 ,
S1914 , 171.3074 , -8.3705 , 10.07 ,
S1915 , 171.1031 , -7.1448 , 13.66 ,
S1916 , 171.3818 , -6.9453 , 21.15 ,
S1917 , 172.2524 , -6.8315 , 19.58 ,
S1918 , 173.1561 , -7.3694 , 29.03 ,
S1919 , 173.4637 , -6.9801 , 9.67 ,
S1920 , 175.2037 , -0.1828 , 22.26 ,
S1921 , 174.4011 , -1.1396 , 15.8 ,
S1922 , 174.4697 , -0.6251 , 15.66 ,
S1923 , 174.0065 , -1.2327 , 12.22 ,
S1924 , 174.5044 , -0.418 , 31.18 ,
S1925 , 173.6937 , -0.7759 , 19.44 ,
S1926 , 173.2045 , -1.0933 , 12.04 ,
S1927 , 173.306 , 1.0299 , 15.96 ,
S1928 , 175.012 , 0.8153 , 14.38 ,
S1929 , 19.566 , -10.404 , 20.19 ,
S1930 , 19.5297 , -10.2931 , 16.99 ,
S1931 , 18.9896 , -10.7145 , 26.74 ,
S1932 , 18.9921 , -10.6151 , 41.38 ,
S1933 , 19.0215 , -10.5016 , 18.34 ,
S1934 , 19.3347 , -10.2218 , 30.35 ,
S1935 , 18.6548 , -10.8896 , 25.96 ,
S1936 , 18.8242 , -10.5518 , 32.2 ,
S1937 , 18.5672 , -10.1647 , 20.47 ,
S1938 , 18.3623 , -10.2721 , 28.37 ,
S1939 , 18.1806 , -9.8736 , 18.56 ,
S1940 , 17.512 , -10.1785 , 22.97 ,
S1941 , 17.4153 , -9.6382 , 40.43 ,
S1942 , 18.1636 , -8.5773 , 35.37 ,
S1943 , 18.2921 , -8.8496 , 26.92 ,
S1944 , 18.3498 , -8.7769 , 40.65 ,
S1945 , 18.0199 , -9.1456 , 25.47 ,
S1946 , 18.1719 , -9.3116 , 13.54 ,
S1947 , 18.5369 , -8.5239 , 40.28 ,
S1948 , 18.6114 , -8.6226 , 31.61 ,
S1949 , 18.7197 , -9.4461 , 21.78 ,
S1950 , 26.1313 , -10.3839 , 26.84 ,
S1951 , 26.5166 , -9.9445 , 29.28 ,
S1952 , 25.0063 , -9.8298 , 29.94 ,
S1953 , 24.3948 , -9.8867 , 35.71 ,
S1954 , 24.5944 , -9.9637 , 33.73 ,
S1955 , 24.0401 , -10.0476 , 35.48 ,
S1956 , 24.2781 , -10.4233 , 16.14 ,
S1957 , 24.195 , -9.4381 , 20.17 ,
S1958 , 24.3951 , -8.3041 , 22.61 ,
S1959 , 24.0127 , -8.8748 , 38.15 ,
S1960 , 23.8361 , -9.1943 , 19.46 ,
S1961 , 24.6726 , -8.3654 , 22.95 ,
S1962 , 24.5979 , -8.5399 , 20.09 ,
S1963 , 24.3175 , -8.9979 , 20.7 ,
S1964 , 24.7801 , -8.5489 , 18.55 ,
S1965 , 24.6492 , -9.0531 , 23.1 ,
S1966 , 24.719 , -9.0921 , 34.27 ,
S1967 , 24.6744 , -9.3818 , 23.77 ,
S1968 , 24.7945 , -9.3946 , 23.52 ,
S1969 , 25.0463 , -8.798 , 26.44 ,
S1970 , 25.1281 , -9.3125 , 15.73 ,
S1971 , 25.6877 , -8.2549 , 16.92 ,
S1972 , 31.2288 , -0.041 , 26.58 ,
S1973 , 29.8446 , -0.142 , 32.49 ,
S1974 , 29.7952 , -0.614 , 27.68 ,
S1975 , 29.3253 , -0.4602 , 23.9 ,
S1976 , 29.1221 , -0.382 , 23.56 ,
S1977 , 29.2647 , -0.9018 , 35.49 ,
S1978 , 29.2411 , -0.6734 , 34.11 ,
S1979 , 28.9643 , 0.8717 , 16.94 ,
S1980 , 29.6497 , 0.7223 , 17.39 ,
S1981 , 29.8694 , 0.7444 , 24.41 ,
S1982 , 30.0721 , 1.1651 , 24.64 ,
S1983 , 30.8425 , 1.0366 , 25.98 ,
S1984 , 150.9664 , -1.0938 , 14.64 ,
S1985 , 151.1798 , -0.2651 , 15.15 ,
S1986 , 151.2618 , -0.4384 , 43.04 ,
S1987 , 150.3246 , -0.072 , 26.48 ,
S1988 , 149.6525 , -0.9629 , 22.88 ,
S1989 , 148.5985 , 0.264 , 42.36 ,
S1990 , 148.6071 , 0.2931 , 24.06 ,
S1991 , 149.5254 , 0.908 , 19.87 ,
S1992 , 148.9553 , 0.4376 , 13.3 ,
S1993 , 149.3228 , 0.2204 , 19.9 ,
S1994 , 158.0393 , 17.6044 , 23.02 ,
S1995 , 157.4657 , 17.5622 , 46.24 ,
S1996 , 156.3475 , 16.8957 , 28.77 ,
S1997 , 156.3145 , 16.6739 , 58.78 ,
S1998 , 156.3614 , 17.0294 , 24.57 ,
S1999 , 156.5197 , 17.09 , 18.56 ,
S2000 , 156.4592 , 17.6787 , 26.88 ,
S2001 , 156.1541 , 17.09 , 15.8 ,
S2002 , 156.0142 , 17.5346 , 28.02 ,
S2003 , 155.6373 , 17.1477 , 19.04 ,
S2004 , 155.7588 , 17.4341 , 24.36 ,
S2005 , 155.548 , 16.6557 , 29.79 ,
S2006 , 155.4931 , 16.8386 , 21.89 ,
S2007 , 155.7655 , 18.6191 , 49.13 ,
S2008 , 156.4196 , 18.9796 , 17.57 ,
S2009 , 156.6531 , 19.0065 , 31.83 ,
S2010 , 156.4554 , 18.8339 , 14.98 ,
S2011 , 156.2256 , 18.0823 , 20.63 ,
S2012 , 156.7455 , 17.9695 , 25.6 ,
S2013 , 157.6658 , 17.9157 , 20.44 ,
S2014 , 157.5455 , 18.7526 , 70.66 ,
S2015 , 157.2654 , 18.495 , 18.72 ,
S2016 , 157.732 , 7.8529 , 35.42 ,
S2017 , 156.1944 , 7.649 , 14.29 ,
S2018 , 155.2894 , 8.295 , 40.24 ,
S2019 , 155.3618 , 8.5021 , 18.07 ,
S2020 , 155.8832 , 8.8575 , 19.02 ,
S2021 , 155.6404 , 9.0982 , 22.92 ,
S2022 , 155.9611 , 9.2123 , 39.73 ,
S2023 , 156.9495 , 10.1057 , 14.74 ,
S2024 , 157.9365 , 9.3035 , 33.76 ,
S2025 , 158.0955 , 8.9828 , 18.72 ,
S2026 , 157.8083 , 8.8085 , 31.58 ,
S2027 , 166.3085 , 27.8913 , 73.58 ,
S2028 , 167.0637 , 28.5139 , 23.86 ,
S2029 , 166.4615 , 28.0181 , 16.99 ,
S2030 , 164.9059 , 28.3154 , 25.15 ,
S2031 , 164.8909 , 28.2226 , 14.71 ,
S2032 , 164.9806 , 29.5623 , 24.72 ,
S2033 , 165.9839 , 29.6796 , 27.78 ,
S2034 , 165.775 , 29.3738 , 27.61 ,
S2035 , 166.196 , 29.2525 , 12.01 ,
S2036 , 166.31 , 29.2481 , 22.51 ,
S2037 , 166.4073 , 29.2079 , 17.86 ,
S2038 , 166.2874 , 28.8415 , 23.07 ,
S2039 , 169.6027 , 18.5252 , 15.36 ,
S2040 , 169.9043 , 19.242 , 24.95 ,
S2041 , 169.2055 , 18.3877 , 34.54 ,
S2042 , 168.9998 , 18.6194 , 24.44 ,
S2043 , 168.7921 , 18.6196 , 19.16 ,
S2044 , 169.3259 , 19.0319 , 36.47 ,
S2045 , 168.5051 , 18.9911 , 52.4 ,
S2046 , 168.5505 , 18.9967 , 28.89 ,
S2047 , 168.6361 , 18.0979 , 21.12 ,
S2048 , 168.4337 , 18.3523 , 48.97 ,
S2049 , 169.1467 , 20.0881 , 24.8 ,
S2050 , 169.2735 , 20.2861 , 27.52 ,
S2051 , 169.1815 , 20.2197 , 48.14 ,
S2052 , 169.1901 , 20.5026 , 23.1 ,
S2053 , 168.5347 , 19.4704 , 32.38 ,
S2054 , 168.6181 , 19.5891 , 19.71 ,
S2055 , 169.6769 , 19.6153 , 29.01 ,
S2056 , 169.5927 , 19.8611 , 30.41 ,
S2057 , 169.4702 , 19.6565 , 18.43 ,
S2058 , 169.957 , 20.4144 , 18.56 ,
S2059 , 170.8859 , 67.3527 , 32.81 ,
S2060 , 171.1399 , -11.988 , 17.12 ,
S2061 , 169.937 , -12.4052 , 36.48 ,
S2062 , 169.7076 , -12.4446 , 19.61 ,
S2063 , 169.3443 , -11.9832 , 13.88 ,
S2064 , 168.8775 , -12.097 , 17.31 ,
S2065 , 168.9671 , -12.212 , 12.35 ,
S2066 , 169.0813 , -12.5978 , 37.33 ,
S2067 , 168.9831 , -10.9993 , 35.33 ,
S2068 , 169.4701 , -11.6582 , 27.01 ,
S2069 , 169.7802 , -11.8129 , 11.14 ,
S2070 , 169.9912 , -11.5981 , 14.21 ,
S2071 , 169.9615 , -10.9806 , 22.51 ,
S2072 , 171.1194 , -11.5143 , 49.14 ,
S2073 , 173.4234 , -7.8127 , 32.81 ,
S2074 , 172.5146 , -7.6041 , 16.31 ,
S2075 , 171.9911 , -7.829 , 10.6 ,
S2076 , 171.8204 , -8.2502 , 47.94 ,
S2077 , 171.8662 , -6.4781 , 26.42 ,
S2078 , 171.2574 , -7.2685 , 19.71 ,
S2079 , 171.3939 , -6.9945 , 16.79 ,
S2080 , 171.3618 , -7.1355 , 55.2 ,
